Data File Name,High Sensitivity DNA Assay_2018-10-10_11-18-40 (1).xad
Data File Path,C:\Users\srlab\Downloads
Date Created,"Wednesday, October 10, 2018 11:18:40 AM"
Date Last Modified,"Wednesday, October 10, 2018 11:57:10 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,10
 
Sample Name,1-T3
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,34.7,43.00,86.6,0.8,0.0,81.1
799,13.26,25.2,,8.5,92.77,14.9,0.5,0.4,8.3
966,114.95,180.3,,80.9,95.08,40.3,2.4,4.1,77.2
"1,098",68.06,93.9,,49.7,96.13,52.8,0.9,2.5,46.9
"1,175",49.64,64.0,,36.8,96.59,60.5,0.5,1.8,34.6
"1,667",356.25,323.8,,289.8,99.54,102.1,3.0,13.9,263.4
"1,990",303.92,231.4,,262.0,101.47,129.5,1.9,12.3,233.3
"2,451",287.38,177.7,,251.4,102.90,143.0,1.6,11.6,220.6
"2,742",184.89,102.2,,163.1,103.79,144.1,1.0,7.5,141.8
"3,176",148.84,71.0,,132.4,104.80,144.6,0.8,6.0,113.9
"4,427",515.58,176.5,,461.9,106.40,211.0,2.5,20.6,390.9
"5,710",110.76,29.4,,99.9,108.04,114.5,0.8,4.4,83.2
"6,435",84.93,20.0,,76.9,108.96,106.5,0.6,3.3,63.5
"7,464",206.19,41.9,,189.9,110.14,95.8,1.9,8.2,154.9
"9,308",84.53,13.8,,82.2,111.95,77.7,1.0,3.4,65.9
"10,380",75.00,10.9,Upper Marker,75.2,113.00,68.3,1.0,0.0,59.7
"13,596",0.00,0.0,,65.4,116.16,40.3,1.6,0.0,50.4
"15,654",0.00,0.0,,36.0,118.17,28.6,1.3,0.0,27.3
"17,070",0.00,0.0,,10.3,119.56,18.1,0.5,0.0,7.7
"17,670",0.00,0.0,,13.4,120.15,12.7,1.2,0.0,10.0
"18,871",0.00,0.0,,3.2,121.33,7.6,0.7,0.0,2.3
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.64,95.55,33.7,2,942,4.2,50.73,81.6,12930121
 
 
Sample Name,UK04
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
0,0.00,0.0,,"3,507.9",103.50,487.6,15.3,0.0,"3,389.3"
0,0.00,0.0,,804.7,105.85,508.8,1.6,0.0,760.2
0,0.00,0.0,,686.6,106.30,512.9,1.4,0.0,645.9
0,0.00,0.0,,549.7,108.15,505.8,1.1,0.0,508.3
0,0.00,0.0,,683.5,109.15,497.8,1.4,0.0,626.2
0,0.00,0.0,,610.2,111.15,477.4,1.3,0.0,549.0
0,0.00,0.0,,437.3,112.45,467.3,0.9,0.0,388.9
0,0.00,0.0,,589.8,114.20,464.7,1.3,0.0,516.4
0,0.00,0.0,,384.9,116.15,432.1,0.9,0.0,331.4
0,0.00,0.0,,270.8,117.10,424.2,0.7,0.0,231.2
0,0.00,0.0,,972.1,117.60,410.7,2.5,0.0,826.6
0,0.00,0.0,,603.8,120.20,364.8,1.8,0.0,502.4
0,0.00,0.0,,"1,224.9",122.00,324.1,4.5,0.0,"1,004.0"
0,0.00,0.0,,743.3,126.60,216.1,4.5,0.0,587.1
0,0.00,0.0,,206.2,131.00,114.7,2.3,0.0,157.4
0,0.00,0.0,,103.8,133.35,63.4,3.2,0.0,77.8
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
 
Overall Results:
Number of peaks found:,0,
Noise:,1.778808,
 
Sample Name,UK03
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
0,0.00,0.0,,2.0,92.05,5.0,0.7,0.0,2.2
0,0.00,0.0,,4.5,92.60,8.5,0.7,0.0,4.9
0,0.00,0.0,,19.9,94.95,21.2,1.3,0.0,21.0
0,0.00,0.0,,53.3,97.05,37.5,1.8,0.0,54.9
0,0.00,0.0,,25.4,97.80,40.1,0.7,0.0,25.9
0,0.00,0.0,,59.8,98.95,50.7,1.3,0.0,60.5
0,0.00,0.0,,38.5,99.75,52.7,0.8,0.0,38.6
0,0.00,0.0,,40.5,102.00,59.3,0.7,0.0,39.7
0,0.00,0.0,,97.3,103.85,71.8,1.5,0.0,93.7
0,0.00,0.0,,71.5,104.95,79.0,0.9,0.0,68.1
0,0.00,0.0,,161.3,107.55,107.8,1.6,0.0,150.0
0,0.00,0.0,,70.1,108.20,113.7,0.7,0.0,64.8
0,0.00,0.0,,113.8,108.90,110.7,1.1,0.0,104.5
0,0.00,0.0,,71.2,111.70,103.4,0.7,0.0,63.7
0,0.00,0.0,,228.5,113.05,137.8,2.0,0.0,202.1
0,0.00,0.0,,87.8,114.90,85.4,1.1,0.0,76.4
0,0.00,0.0,,119.4,115.95,76.7,1.8,0.0,103.0
0,0.00,0.0,,87.9,117.85,63.9,1.5,0.0,74.6
0,0.00,0.0,,38.5,119.85,51.4,0.8,0.0,32.1
0,0.00,0.0,,44.3,120.85,47.4,1.0,0.0,36.7
0,0.00,0.0,,54.8,122.10,42.9,1.5,0.0,44.9
0,0.00,0.0,,27.7,123.50,36.1,0.9,0.0,22.4
0,0.00,0.0,,44.7,124.40,34.4,1.5,0.0,35.9
0,0.00,0.0,,21.2,125.85,26.7,0.9,0.0,16.9
0,0.00,0.0,,18.3,127.80,21.2,0.9,0.0,14.4
0,0.00,0.0,,10.5,129.60,16.3,0.8,0.0,8.1
0,0.00,0.0,,9.4,130.30,14.6,0.8,0.0,7.2
0,0.00,0.0,,4.3,132.35,8.7,0.7,0.0,3.3
0,0.00,0.0,,4.6,132.85,6.6,0.9,0.0,3.5
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
 
Overall Results:
Number of peaks found:,0,
Noise:,2.627285,
 
Sample Name,UK01
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,25.4,43.00,60.8,1.1,0.0,61.3
513,58.13,171.7,,8.3,84.20,8.3,1.1,0.3,9.0
527,51.76,148.7,,7.6,84.89,11.7,0.6,0.3,8.2
555,107.84,294.3,,16.5,86.24,21.5,0.7,0.5,17.5
573,130.37,344.8,,20.5,87.10,27.4,0.7,0.7,21.5
588,184.90,476.4,,29.7,87.83,36.8,0.8,0.9,30.8
734,"1,917.76","3,959.3",,317.9,91.87,102.1,3.9,9.6,313.6
887,"1,929.79","3,294.9",,351.1,93.99,157.3,2.2,10.4,337.8
"1,000","1,248.00","1,891.6",,242.3,95.54,199.5,1.1,7.0,228.9
"1,108",987.52,"1,350.2",,195.9,96.19,213.0,0.8,5.6,183.7
"1,272",792.75,944.5,,162.3,97.17,220.7,0.6,4.6,150.5
"1,347","1,168.31","1,314.5",,242.6,97.62,226.6,0.9,6.9,223.8
"1,476",719.10,738.1,,153.0,98.40,224.2,0.6,4.3,140.0
"1,592",693.88,660.4,,150.9,99.09,216.9,0.6,4.2,136.9
"1,701","4,179.52","3,723.0",,927.5,99.74,266.5,4.2,25.6,835.6
"2,699",506.40,284.2,,121.1,103.66,131.1,0.8,3.2,104.6
"2,981",995.40,505.9,,240.0,104.52,117.9,1.9,6.3,205.4
"4,360",586.69,203.9,,142.7,106.31,89.8,1.4,3.7,119.9
"5,924",203.36,52.0,,49.9,108.31,70.2,0.6,1.3,41.1
"6,786",221.55,49.5,,54.6,109.41,62.0,0.8,1.4,44.5
"7,428",127.37,26.0,,31.8,110.10,50.4,0.5,0.8,25.7
"8,093",155.32,29.1,,39.6,110.76,47.1,0.7,1.0,31.8
"8,841",138.13,23.7,,36.0,111.49,42.2,0.8,0.9,28.7
"9,715",103.21,16.1,,27.6,112.35,37.3,0.7,0.5,21.8
"10,380",75.00,10.9,Upper Marker,20.4,113.00,34.5,0.5,0.0,16.1
"11,336",0.00,0.0,,15.5,113.94,26.1,0.5,0.0,12.1
"12,043",0.00,0.0,,28.3,114.63,24.1,1.1,0.0,21.9
"13,124",0.00,0.0,,11.0,115.69,19.1,0.5,0.0,8.4
"13,707",0.00,0.0,,16.3,116.26,18.9,0.9,0.0,12.4
"15,411",0.00,0.0,,10.0,117.94,13.3,0.8,0.0,7.5
"16,160",0.00,0.0,,6.8,118.67,7.9,0.9,0.0,5.0
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.64,95.55,"1,066.3",29,786,17.5,"6,273.48","12,555.0",12930121
 
 
Sample Name,4-T3
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
0,0.00,0.0,,88.5,95.55,38.6,5.0,0.0,92.6
0,0.00,0.0,,291.9,100.05,93.7,4.5,0.0,291.8
0,0.00,0.0,,"1,958.0",109.50,318.0,10.0,0.0,"1,788.2"
0,0.00,0.0,,237.4,111.40,282.9,0.9,0.0,213.1
0,0.00,0.0,,210.3,112.10,284.7,0.8,0.0,187.6
0,0.00,0.0,,460.2,112.90,281.3,1.6,0.0,407.6
0,0.00,0.0,,259.9,114.50,277.6,0.9,0.0,227.0
0,0.00,0.0,,188.3,115.45,272.1,0.7,0.0,163.1
0,0.00,0.0,,222.8,116.25,268.1,0.9,0.0,191.6
0,0.00,0.0,,664.7,117.25,259.5,2.8,0.0,566.9
0,0.00,0.0,,299.1,119.90,223.1,1.4,0.0,249.5
0,0.00,0.0,,"1,370.0",121.35,206.9,13.3,0.0,"1,128.9"
0,0.00,0.0,,25.3,134.50,22.0,2.0,0.0,18.8
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
 
Overall Results:
Number of peaks found:,0,
Noise:,1.134581,
 
Sample Name,UK07
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
27,0.00,0.0,,6.9,40.69,9.2,1.1,0.0,18.6
30,0.00,0.0,,13.8,41.70,18.7,0.9,0.0,36.1
35,125.00,"5,411.3",Lower Marker,52.9,43.00,35.7,1.7,0.0,133.4
42,518.15,"18,802.1",,44.2,44.06,79.4,0.9,13.9,108.4
46,502.71,"16,539.1",,44.7,44.73,29.1,2.4,13.8,107.8
66,62.69,"1,435.1",,6.0,47.18,9.2,1.2,1.8,13.7
655,15.09,34.9,,4.6,90.07,6.0,0.9,0.7,5.2
