Data File Name,High Sensitivity DNA Assay_2018-10-10_10-19-54 (1).xad,,,,,,,,
Data File Path,C:\Users\srlab\Downloads,,,,,,,,
Date Created,"Wednesday, October 10, 2018 10:19:53 AM",,,,,,,,
Date Last Modified,"Wednesday, October 10, 2018 11:01:15 AM",,,,,,,,
Version Created,B.02.08.SI648,,,,,,,,
Version Last Modified,B.02.08.SI648,,,,,,,,
 ,,,,,,,,,
Assay Name,High Sensitivity DNA,,,,,,,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,,,,,,,
Assay Title,High Sensitivity DNA Assay,,,,,,,,
Assay Version,1.03,,,,,,,,
 ,,,,,,,,,
Number of Samples Run,11,,,,,,,,
 ,,,,,,,,,
Sample Name,10-T3,,,,,,,,
 ,,,,,,,,,
Peak Table,,,,,,,,,
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125,"5,411.30",Lower Marker,20.4,43,41.6,1.3,0,44.8
489,1.93,6,,18.8,94.88,12.7,3.2,1,18.4
916,55.2,91.3,,683.3,104.19,137.9,9.3,33.1,606.8
"2,703",64.94,36.4,,982.5,109.21,207.6,5.1,45.4,832
"3,421",8.64,3.8,,131.9,110.54,204.2,0.6,6,110.3
"4,788",21.01,6.6,,319,111.08,200.9,1.5,14.5,265.5
"10,380",75,10.9,Upper Marker,"1,218.60",113,202,10.4,0,996.8
"43,615",0,0,,23.7,123.13,29.8,0.9,0,17.8
"46,459",0,0,,15,124,18.9,1.1,0,11.2
"50,352",0,0,,2.6,125.18,6.1,0.6,0,1.9
 ,,,,,,,,,
Region Table,,,,,,,,,
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,78.09,104.82,524.8,28,739,18,50.29,106.7,12930121
 ,,,,,,,,,
 ,,,,,,,,,
Sample Name,3-T1,,,,,,,,
 ,,,,,,,,,
Peak Table,,,,,,,,,
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125,"5,411.30",Lower Marker,14.5,43,34.7,0.9,0,31.6
641,31.07,73.5,,3.9,101.06,5.4,0.7,2.7,3.4
683,43.46,96.4,,5.4,102.15,8.8,0.6,3.7,4.7
958,72.31,114.4,,10.2,104.5,13,0.7,6.9,8.7
"1,467",112.73,116.4,,17.3,105.59,15.4,1.1,11.6,14.7
"2,120",104.77,74.9,,17.3,106.94,16.7,1,11.5,14.5
"2,254",75.54,50.8,,12.5,107.46,17.3,0.7,8.3,10.5
"2,669",83.22,47.2,,14,109.08,18.2,0.7,9.1,11.5
"4,458",424.34,144.2,,71.8,110.95,46.4,2.7,46.2,58
"10,380",75,10.9,Upper Marker,13.6,113,12.8,1,0,10.8
"18,245",0,0,,7,115.4,9.2,0.7,0,5.4
"20,676",0,0,,5.2,116.14,7.9,0.7,0,4
"24,680",0,0,,3.7,117.36,5.6,0.7,0,2.8
 ,,,,,,,,,
Region Table,,,,,,,,,
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,78.09,104.82,45,19,766,16.2,397.85,807.7,12930121
 ,,,,,,,,,
 ,,,,,,,,,
Sample Name,UK-05,,,,,,,,
 ,,,,,,,,,
Peak Table,,,,,,,,,
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125,"5,411.30",Lower Marker,18.6,43,36.1,1.4,0,41
36,279.65,"11,714.60",,6.3,43.89,6.5,1.2,1.8,13.6
188,146.52,"1,180.60",,7.2,76.66,6.5,1.2,1.1,8.7
194,96.23,750,,4.9,77.42,6.4,0.8,0.7,5.8
456,"1,502.28","4,986.50",,115.9,92.24,31.2,6.9,14.9,115.3
490,"1,491.87","4,612.60",,118.9,95.01,47.6,2.7,14.8,114.7
516,"1,149.00","3,376.30",,94.5,96.48,56.2,1.6,11.6,89.7
532,484.44,"1,380.60",,40.7,97.15,60.1,0.6,5,38.4
553,"1,534.34","4,203.70",,132.9,98.04,60.7,2.1,16,124.1
600,"1,532.02","3,868.40",,141.3,100.01,48.6,4,16.7,129.3
"1,117",135.26,183.5,,14.5,105.01,21.5,0.6,1.6,12.6
"1,547",133.79,131,,15.2,105.72,20.7,0.7,1.7,13.1
"2,036",123.1,91.6,,14.9,106.62,20.5,0.7,1.6,12.8
"2,162",107.1,75,,13,107.11,19.5,0.6,1.4,11.1
"2,357",198.58,127.6,,24.3,107.87,18.3,1.3,2.7,20.6
"2,679",92.65,52.4,,11.4,109.12,17.2,0.6,1.2,9.6
"4,000",534.16,202.3,,66.4,110.77,49.5,2.5,7.2,54.8
"10,380",75,10.9,Upper Marker,10,113,11.2,0.9,0,8
"13,749",0,0,,6.9,114.03,9.8,0.8,0,5.5
"18,582",0,0,,6.1,115.5,7.4,0.9,0,4.8
"23,269",0,0,,4.3,116.93,5.6,0.8,0,3.3
 ,,,,,,,,,
Region Table,,,,,,,,,
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,78.09,104.82,632.6,77,551,20.7,"7,956.83","22,992.90",12930121
 ,,,,,,,,,
 ,,,,,,,,,
Sample Name,12-T6,,,,,,,,
 ,,,,,,,,,
Peak Table,,,,,,,,,
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125,"5,411.30",Lower Marker,42.9,43,50.4,2.2,0,95.9
