Protein,Interest,ReplacementFor,Peptides,
CHOYP_ACAA2.1.1|m.30666,Second,CHOYP_HYOU1.2.3|m.12568,3,
CHOYP_BRAFLDRAFT_119799.1.1|m.23765,First,N/A,3,
CHOYP_BRAFLDRAFT_122807.1.1|m.3729,First,N/A,3,
CHOYP_BRAFLDRAFT_275870.1.1|m.12895,Second,CHOYP_BRAFLDRAFT_91636.1.11|m.28449,3,
CHOYP_BRAFLDRAFT_88228.1.1|m.51515,Second,CHOYP_BRAFLDRAFT_91636.1.11|m.28449,2,
CHOYP_CAH1.1.2|m.24247,Second,CHOYP_LOC576041.1.1|m.28220,3,
CHOYP_CAH2.1.1|m.42306,Second,CHOYP_LOC576041.1.1|m.28220,3,
CHOYP_CAT.1.1|m.57038,First,N/A,3,
CHOYP_CATA.2.3|m.18454,First,N/A,3,
CHOYP_DNJA2.2.2|m.51791,First,N/A,3,
CHOYP_EF2.1.5|m.1541,Second,CHOYP_HYOU1.2.3|m.12568,3,
CHOYP_G6PD.2.2|m.46923,First,N/A,3,
CHOYP_HS12A.11.33|m.39341,Second,CHOYP_HSPA12A.19.27|m.54978,3,
CHOYP_HS12A.14.33|m.41988,Second,CHOYP_HSPA12A.10.27|m.35252,3,
CHOYP_HS12A.21.33|m.58427,Second,CHOYP_HSPA12A.19.27|m.54978,3,
CHOYP_HS12A.25.33|m.60352,Second,CHOYP_HSPA12A.10.27|m.35252,3,
CHOYP_HYOU1.2.3|m.12568,First,N/A,1,
CHOYP_LOC100150876.1.1|m.61100,First,N/A,1,
CHOYP_LOC100883864.1.1|m.41791,Second,CHOYP_HYOU1.2.3|m.12568,3,
CHOYP_LOC101169658.1.3|m.18820,First,N/A,2,
CHOYP_LOC594665.1.1|m.8448,Second,CHOYP_LOC100371830.4.6|m.25343,3,
CHOYP_MRP1.5.10|m.34368,First,N/A,3,
CHOYP_PDIA1.1.1|m.5297,Second,CHOYP_HYOU1.2.3|m.12568,3,
CHOYP_BRAFLDRAFT_122807.1.1|m.3729,Second,CHOYP_GPX4-A.1.1|m.257,3,
CHOYP_LOC100377195.2.2|m.61720,First,N/A,0,
CHOYP_MANL.8.9|m.48353,First,N/A,0,
CHOYP_MRC1.2.4|m.22571,First,N/A,0,
,,,,
