GO.ID,Term,Annotated,Significant,Expected,classic
GO:0017022,myosin binding,8,2,0.01,0.00021
GO:0061630,ubiquitin protein ligase activity,22,2,0.02,0.00171
GO:0061659,ubiquitin-like protein ligase activity,22,2,0.02,0.00171
GO:0008092,cytoskeletal protein binding,37,2,0.03,0.00481
GO:0004842,ubiquitin-protein transferase activity,41,2,0.04,0.00588
GO:0008270,zinc ion binding,41,2,0.04,0.00588
GO:0019787,ubiquitin-like protein transferase activ...,41,2,0.04,0.00588
GO:0046914,transition metal ion binding,41,2,0.04,0.00588
GO:0005515,protein binding,73,2,0.06,0.01794
GO:0016740,transferase activity,74,2,0.06,0.01841
GO:0140096,catalytic activity, acting on a protein,76,2,0.07,0.01937
GO:0003824,catalytic activity,94,2,0.08,0.02889
GO:0046872,metal ion binding,115,2,0.1,0.04193
GO:0043169,cation binding,116,2,0.1,0.04260
GO:0043167,ion binding,131,2,0.11,0.05312
GO:0005488,binding,179,2,0.16,0.09223
GO:0003674,molecular_function,214,2,0.19,0.12495
GO:0000166,nucleotide binding,37,0,0.03,1.00000
GO:0000287,magnesium ion binding,4,0,0,1.00000
GO:0000976,transcription regulatory region sequence...,7,0,0.01,1.00000
GO:0000977,RNA polymerase II regulatory region sequ...,7,0,0.01,1.00000
GO:0000978,RNA polymerase II proximal promoter sequ...,2,0,0,1.00000
GO:0000981,DNA-binding transcription factor activit...,8,0,0.01,1.00000
GO:0000982,transcription factor activity, RNA polym...,2,0,0,1.00000
GO:0000987,proximal promoter sequence-specific DNA ...,2,0,0,1.00000
GO:0001012,RNA polymerase II regulatory region DNA ...,7,0,0.01,1.00000
GO:0001047,core promoter binding,3,0,0,1.00000
GO:0001067,regulatory region nucleic acid binding,10,0,0.01,1.00000
GO:0001077,proximal promoter DNA-binding transcript...,2,0,0,1.00000
GO:0001085,RNA polymerase II transcription factor b...,2,0,0,1.00000
GO:0001228,DNA-binding transcription activator acti...,2,0,0,1.00000
GO:0001784,phosphotyrosine residue binding,1,0,0,1.00000
GO:0001882,nucleoside binding,5,0,0,1.00000
GO:0001883,purine nucleoside binding,2,0,0,1.00000
GO:0003676,nucleic acid binding,52,0,0.05,1.00000
GO:0003677,DNA binding,38,0,0.03,1.00000
GO:0003678,DNA helicase activity,1,0,0,1.00000
GO:0003682,chromatin binding,4,0,0,1.00000
GO:0003688,DNA replication origin binding,1,0,0,1.00000
GO:0003690,double-stranded DNA binding,10,0,0.01,1.00000
GO:0003700,DNA-binding transcription factor activit...,11,0,0.01,1.00000
GO:0003707,steroid hormone receptor activity,5,0,0,1.00000
GO:0003723,RNA binding,11,0,0.01,1.00000
GO:0003735,structural constituent of ribosome,1,0,0,1.00000
GO:0003779,actin binding,18,0,0.02,1.00000
GO:0003785,actin monomer binding,11,0,0.01,1.00000
GO:0003899,DNA-directed 5'-3' RNA polymerase activi...,3,0,0,1.00000
GO:0003924,GTPase activity,2,0,0,1.00000
