GO.ID,Term,Annotated,Significant,Expected,classic
GO:0045296,cadherin binding,7,4,0.02,1.5e-06
GO:0050839,cell adhesion molecule binding,7,4,0.02,1.5e-06
GO:0004721,phosphoprotein phosphatase activity,4,1,0.01,0.057
GO:0004725,protein tyrosine phosphatase activity,4,1,0.01,0.057
GO:0005001,transmembrane receptor protein tyrosine ...,4,1,0.01,0.057
GO:0019198,transmembrane receptor protein phosphata...,4,1,0.01,0.057
GO:0016791,phosphatase activity,5,1,0.01,0.071
GO:0042578,phosphoric ester hydrolase activity,5,1,0.01,0.071
GO:0004888,transmembrane signaling receptor activit...,11,1,0.03,0.150
GO:0038023,signaling receptor activity,11,1,0.03,0.150
GO:0016788,hydrolase activity, acting on ester bond...,12,1,0.03,0.163
GO:0060089,molecular transducer activity,16,1,0.04,0.211
GO:0005515,protein binding,165,4,0.4,0.223
GO:0042802,identical protein binding,20,1,0.05,0.256
GO:0005488,binding,274,5,0.67,0.375
GO:0003674,molecular_function,310,5,0.76,0.480
GO:0003723,RNA binding,45,1,0.11,0.487
GO:0140096,catalytic activity, acting on a protein,62,1,0.15,0.602
GO:0016787,hydrolase activity,88,1,0.22,0.730
GO:0003676,nucleic acid binding,104,1,0.25,0.788
GO:0003824,catalytic activity,155,1,0.38,0.901
GO:0097159,organic cyclic compound binding,173,1,0.42,0.925
GO:1901363,heterocyclic compound binding,173,1,0.42,0.925
GO:0000166,nucleotide binding,81,0,0.2,1.000
GO:0000976,transcription regulatory region sequence...,15,0,0.04,1.000
GO:0000977,RNA polymerase II regulatory region sequ...,5,0,0.01,1.000
GO:0000978,RNA polymerase II proximal promoter sequ...,5,0,0.01,1.000
GO:0000981,DNA-binding transcription factor activit...,5,0,0.01,1.000
GO:0000982,transcription factor activity, RNA polym...,2,0,0,1.000
GO:0000983,transcription factor activity, RNA polym...,3,0,0.01,1.000
GO:0000987,proximal promoter sequence-specific DNA ...,5,0,0.01,1.000
GO:0001012,RNA polymerase II regulatory region DNA ...,5,0,0.01,1.000
GO:0001067,regulatory region nucleic acid binding,15,0,0.04,1.000
GO:0001077,proximal promoter DNA-binding transcript...,2,0,0,1.000
GO:0001085,RNA polymerase II transcription factor b...,13,0,0.03,1.000
GO:0001102,RNA polymerase II activating transcripti...,11,0,0.03,1.000
GO:0001103,RNA polymerase II repressing transcripti...,8,0,0.02,1.000
GO:0001228,DNA-binding transcription activator acti...,2,0,0,1.000
GO:0001618,virus receptor activity,3,0,0.01,1.000
GO:0001882,nucleoside binding,5,0,0.01,1.000
GO:0001883,purine nucleoside binding,5,0,0.01,1.000
GO:0003677,DNA binding,71,0,0.17,1.000
GO:0003682,chromatin binding,16,0,0.04,1.000
GO:0003688,DNA replication origin binding,1,0,0,1.000
GO:0003690,double-stranded DNA binding,16,0,0.04,1.000
GO:0003697,single-stranded DNA binding,3,0,0.01,1.000
GO:0003700,DNA-binding transcription factor activit...,16,0,0.04,1.000
GO:0003712,transcription coregulator activity,8,0,0.02,1.000
GO:0003714,transcription corepressor activity,8,0,0.02,1.000
GO:0003746,translation elongation factor activity,1,0,0,1.000
GO:0003774,motor activity,48,0,0.12,1.000
GO:0003777,microtubule motor activity,48,0,0.12,1.000
GO:0003779,actin binding,15,0,0.04,1.000
GO:0003873,6-phosphofructo-2-kinase activity,1,0,0,1.000
GO:0003924,GTPase activity,4,0,0.01,1.000
GO:0003954,NADH dehydrogenase activity,1,0,0,1.000
GO:0004175,endopeptidase activity,1,0,0,1.000
GO:0004252,serine-type endopeptidase activity,1,0,0,1.000
GO:0004331,fructose-2,6-bisphosphate 2-phosphatase ...,1,0,0,1.000
GO:0004373,glycogen (starch) synthase activity,4,0,0.01,1.000
GO:0004386,helicase activity,10,0,0.02,1.000
GO:0004518,nuclease activity,5,0,0.01,1.000
GO:0004519,endonuclease activity,5,0,0.01,1.000
GO:0004520,endodeoxyribonuclease activity,5,0,0.01,1.000
GO:0004536,deoxyribonuclease activity,5,0,0.01,1.000
GO:0004553,hydrolase activity, hydrolyzing O-glycos...,1,0,0,1.000
GO:0004566,beta-glucuronidase activity,1,0,0,1.000
GO:0004672,protein kinase activity,7,0,0.02,1.000
GO:0004674,protein serine/threonine kinase activity,6,0,0.01,1.000
GO:0004697,protein kinase C activity,5,0,0.01,1.000
GO:0004699,calcium-independent protein kinase C act...,5,0,0.01,1.000
GO:0004712,protein serine/threonine/tyrosine kinase...,1,0,0,1.000
GO:0004713,protein tyrosine kinase activity,5,0,0.01,1.000
GO:0004715,non-membrane spanning protein tyrosine k...,5,0,0.01,1.000
GO:0004738,pyruvate dehydrogenase activity,4,0,0.01,1.000
GO:0004739,pyruvate dehydrogenase (acetyl-transferr...,4,0,0.01,1.000
GO:0004842,ubiquitin-protein transferase activity,38,0,0.09,1.000
GO:0004930,G protein-coupled receptor activity,4,0,0.01,1.000
GO:0004993,G protein-coupled serotonin receptor act...,3,0,0.01,1.000
GO:0004997,thyrotropin-releasing hormone receptor a...,1,0,0,1.000
GO:0005048,signal sequence binding,1,0,0,1.000
