GO.ID,Term,Annotated,Significant,Expected,classic
GO:0043523,regulation of neuron apoptotic process,17,2,0.01,0.00062
GO:0051402,neuron apoptotic process,17,2,0.01,0.00062
GO:0070997,neuron death,20,2,0.01,0.00086
GO:1901214,regulation of neuron death,20,2,0.01,0.00086
GO:0042981,regulation of apoptotic process,37,2,0.03,0.00297
GO:0043067,regulation of programmed cell death,40,2,0.03,0.00346
GO:0006915,apoptotic process,41,2,0.03,0.00364
GO:0010941,regulation of cell death,42,2,0.03,0.00382
GO:0012501,programmed cell death,44,2,0.03,0.00418
GO:0008219,cell death,46,2,0.03,0.00456
GO:0050794,regulation of cellular process,189,2,0.13,0.06585
GO:0050789,regulation of biological process,193,2,0.13,0.06834
GO:0065007,biological regulation,199,2,0.14,0.07214
GO:0009987,cellular process,239,2,0.16,0.09920
GO:0008150,biological_process,270,2,0.18,0.12198
GO:0000003,reproduction,17,0,0.01,1.00000
GO:0000018,regulation of DNA recombination,3,0,0,1.00000
GO:0000019,regulation of mitotic recombination,3,0,0,1.00000
GO:0000070,mitotic sister chromatid segregation,2,0,0,1.00000
GO:0000075,cell cycle checkpoint,3,0,0,1.00000
GO:0000077,DNA damage checkpoint,1,0,0,1.00000
GO:0000122,negative regulation of transcription by ...,7,0,0,1.00000
GO:0000165,MAPK cascade,23,0,0.02,1.00000
GO:0000186,activation of MAPKK activity,21,0,0.01,1.00000
GO:0000187,activation of MAPK activity,3,0,0,1.00000
GO:0000209,protein polyubiquitination,3,0,0,1.00000
GO:0000226,microtubule cytoskeleton organization,15,0,0.01,1.00000
GO:0000245,spliceosomal complex assembly,1,0,0,1.00000
GO:0000278,mitotic cell cycle,4,0,0,1.00000
GO:0000280,nuclear division,4,0,0,1.00000
GO:0000288,nuclear-transcribed mRNA catabolic proce...,3,0,0,1.00000
GO:0000289,nuclear-transcribed mRNA poly(A) tail sh...,2,0,0,1.00000
GO:0000291,nuclear-transcribed mRNA catabolic proce...,1,0,0,1.00000
GO:0000302,response to reactive oxygen species,7,0,0,1.00000
GO:0000375,RNA splicing, via transesterification re...,8,0,0.01,1.00000
GO:0000377,RNA splicing, via transesterification re...,8,0,0.01,1.00000
GO:0000387,spliceosomal snRNP assembly,1,0,0,1.00000
GO:0000398,mRNA splicing, via spliceosome,8,0,0.01,1.00000
GO:0000422,autophagy of mitochondrion,3,0,0,1.00000
GO:0000423,mitophagy,3,0,0,1.00000
GO:0000447,endonucleolytic cleavage in ITS1 to sepa...,1,0,0,1.00000
GO:0000460,maturation of 5.8S rRNA,2,0,0,1.00000
GO:0000462,maturation of SSU-rRNA from tricistronic...,1,0,0,1.00000
GO:0000466,maturation of 5.8S rRNA from tricistroni...,1,0,0,1.00000
GO:0000469,cleavage involved in rRNA processing,1,0,0,1.00000
GO:0000470,maturation of LSU-rRNA,1,0,0,1.00000
GO:0000472,endonucleolytic cleavage to generate mat...,1,0,0,1.00000
GO:0000478,endonucleolytic cleavage involved in rRN...,1,0,0,1.00000
GO:0000479,endonucleolytic cleavage of tricistronic...,1,0,0,1.00000
GO:0000480,endonucleolytic cleavage in 5'-ETS of tr...,1,0,0,1.00000
GO:0000578,embryonic axis specification,13,0,0.01,1.00000
GO:0000712,resolution of meiotic recombination inte...,2,0,0,1.00000
GO:0000723,telomere maintenance,1,0,0,1.00000
GO:0000724,double-strand break repair via homologou...,1,0,0,1.00000
GO:0000725,recombinational repair,1,0,0,1.00000
GO:0000726,non-recombinational repair,2,0,0,1.00000
GO:0000737,DNA catabolic process, endonucleolytic,1,0,0,1.00000
GO:0000819,sister chromatid segregation,2,0,0,1.00000
GO:0000902,cell morphogenesis,58,0,0.04,1.00000
GO:0000904,cell morphogenesis involved in different...,58,0,0.04,1.00000
GO:0000910,cytokinesis,2,0,0,1.00000
GO:0000956,nuclear-transcribed mRNA catabolic proce...,3,0,0,1.00000
GO:0000966,RNA 5'-end processing,1,0,0,1.00000
GO:0000967,rRNA 5'-end processing,1,0,0,1.00000
GO:0001101,response to acid chemical,1,0,0,1.00000
GO:0001525,angiogenesis,1,0,0,1.00000
GO:0001541,ovarian follicle development,2,0,0,1.00000
GO:0001558,regulation of cell growth,2,0,0,1.00000
GO:0001568,blood vessel development,1,0,0,1.00000
GO:0001575,globoside metabolic process,3,0,0,1.00000
GO:0001654,eye development,3,0,0,1.00000
GO:0001655,urogenital system development,7,0,0,1.00000
GO:0001656,metanephros development,4,0,0,1.00000
GO:0001657,ureteric bud development,2,0,0,1.00000
GO:0001658,branching involved in ureteric bud morph...,2,0,0,1.00000
GO:0001666,response to hypoxia,2,0,0,1.00000
GO:0001667,ameboidal-type cell migration,3,0,0,1.00000
GO:0001701,in utero embryonic development,2,0,0,1.00000
GO:0001702,gastrulation with mouth forming second,2,0,0,1.00000
GO:0001704,formation of primary germ layer,2,0,0,1.00000
GO:0001707,mesoderm formation,2,0,0,1.00000
GO:0001756,somitogenesis,13,0,0.01,1.00000
GO:0001757,somite specification,11,0,0.01,1.00000
GO:0001763,morphogenesis of a branching structure,2,0,0,1.00000
GO:0001775,cell activation,5,0,0,1.00000
GO:0001816,cytokine production,14,0,0.01,1.00000
GO:0001817,regulation of cytokine production,14,0,0.01,1.00000
GO:0001819,positive regulation of cytokine producti...,12,0,0.01,1.00000
GO:0001822,kidney development,7,0,0,1.00000
GO:0001823,mesonephros development,2,0,0,1.00000
GO:0001837,epithelial to mesenchymal transition,2,0,0,1.00000
GO:0001838,embryonic epithelial tube formation,11,0,0.01,1.00000
GO:0001841,neural tube formation,11,0,0.01,1.00000
GO:0001843,neural tube closure,11,0,0.01,1.00000
GO:0001889,liver development,11,0,0.01,1.00000
GO:0001890,placenta development,1,0,0,1.00000
GO:0001906,cell killing,1,0,0,1.00000
GO:0001909,leukocyte mediated cytotoxicity,1,0,0,1.00000
GO:0001910,regulation of leukocyte mediated cytotox...,1,0,0,1.00000
GO:0001912,positive regulation of leukocyte mediate...,1,0,0,1.00000
GO:0001932,regulation of protein phosphorylation,24,0,0.02,1.00000
GO:0001933,negative regulation of protein phosphory...,3,0,0,1.00000
GO:0001934,positive regulation of protein phosphory...,24,0,0.02,1.00000
GO:0001942,hair follicle development,2,0,0,1.00000
GO:0001944,vasculature development,1,0,0,1.00000
GO:0001959,regulation of cytokine-mediated signalin...,9,0,0.01,1.00000
GO:0002009,morphogenesis of an epithelium,28,0,0.02,1.00000
GO:0002011,morphogenesis of an epithelial sheet,15,0,0.01,1.00000
GO:0002040,sprouting angiogenesis,1,0,0,1.00000
GO:0002200,somatic diversification of immune recept...,2,0,0,1.00000
GO:0002204,somatic recombination of immunoglobulin ...,2,0,0,1.00000
GO:0002208,somatic diversification of immunoglobuli...,2,0,0,1.00000
GO:0002218,activation of innate immune response,10,0,0.01,1.00000
GO:0002221,pattern recognition receptor signaling p...,10,0,0.01,1.00000
GO:0002224,toll-like receptor signaling pathway,10,0,0.01,1.00000
GO:0002228,natural killer cell mediated immunity,1,0,0,1.00000
GO:0002250,adaptive immune response,2,0,0,1.00000
GO:0002252,immune effector process,15,0,0.01,1.00000
GO:0002253,activation of immune response,10,0,0.01,1.00000
GO:0002262,myeloid cell homeostasis,1,0,0,1.00000
GO:0002263,cell activation involved in immune respo...,2,0,0,1.00000
GO:0002285,lymphocyte activation involved in immune...,2,0,0,1.00000
GO:0002312,B cell activation involved in immune res...,2,0,0,1.00000
GO:0002366,leukocyte activation involved in immune ...,2,0,0,1.00000
GO:0002376,immune system process,20,0,0.01,1.00000
GO:0002377,immunoglobulin production,2,0,0,1.00000
GO:0002381,immunoglobulin production involved in im...,2,0,0,1.00000
GO:0002440,production of molecular mediator of immu...,2,0,0,1.00000
GO:0002443,leukocyte mediated immunity,3,0,0,1.00000
GO:0002449,lymphocyte mediated immunity,3,0,0,1.00000
GO:0002460,adaptive immune response based on somati...,2,0,0,1.00000
GO:0002520,immune system development,4,0,0,1.00000
GO:0002521,leukocyte differentiation,1,0,0,1.00000
GO:0002562,somatic diversification of immune recept...,2,0,0,1.00000
GO:0002566,somatic diversification of immune recept...,2,0,0,1.00000
GO:0002637,regulation of immunoglobulin production,2,0,0,1.00000
GO:0002639,positive regulation of immunoglobulin pr...,2,0,0,1.00000
GO:0002682,regulation of immune system process,16,0,0.01,1.00000
GO:0002684,positive regulation of immune system pro...,16,0,0.01,1.00000
GO:0002694,regulation of leukocyte activation,2,0,0,1.00000
GO:0002696,positive regulation of leukocyte activat...,2,0,0,1.00000
GO:0002697,regulation of immune effector process,12,0,0.01,1.00000
GO:0002699,positive regulation of immune effector p...,3,0,0,1.00000
GO:0002700,regulation of production of molecular me...,2,0,0,1.00000
GO:0002702,positive regulation of production of mol...,2,0,0,1.00000
GO:0002703,regulation of leukocyte mediated immunit...,3,0,0,1.00000
GO:0002705,positive regulation of leukocyte mediate...,3,0,0,1.00000
GO:0002706,regulation of lymphocyte mediated immuni...,3,0,0,1.00000
GO:0002708,positive regulation of lymphocyte mediat...,3,0,0,1.00000
GO:0002712,regulation of B cell mediated immunity,2,0,0,1.00000
GO:0002714,positive regulation of B cell mediated i...,2,0,0,1.00000
GO:0002715,regulation of natural killer cell mediat...,1,0,0,1.00000
GO:0002717,positive regulation of natural killer ce...,1,0,0,1.00000
GO:0002753,cytoplasmic pattern recognition receptor...,9,0,0.01,1.00000
GO:0002756,MyD88-independent toll-like receptor sig...,9,0,0.01,1.00000
GO:0002757,immune response-activating signal transd...,10,0,0.01,1.00000
GO:0002758,innate immune response-activating signal...,10,0,0.01,1.00000
GO:0002764,immune response-regulating signaling pat...,10,0,0.01,1.00000
GO:0002790,peptide secretion,1,0,0,1.00000
GO:0002819,regulation of adaptive immune response,2,0,0,1.00000
GO:0002821,positive regulation of adaptive immune r...,2,0,0,1.00000
GO:0002822,regulation of adaptive immune response b...,2,0,0,1.00000
