GOID,p.value,transcript,geneID,chr,start,end,GOterm,GOSlim,GOcat
GO:0006915,0.00364,XM_011456883.3,105347711,NC_047562.1,13501413,13501415,apoptosis,death,P
GO:0006915,0.00364,XM_011458389.3,105348828,NC_047565.1,37222360,37222362,apoptosis,death,P
GO:0010941,0.00382,XM_034476418.1,105338968,NC_047563.1,69746277,69746279,regulation of cell death,death,P
GO:0042981,0.00297,XM_034455775.1,117684293,NC_047568.1,6248102,6248104,regulation of apoptosis,death,P
GO:0042981,0.00297,XM_034455782.1,117684293,NC_047568.1,6248102,6248104,regulation of apoptosis,death,P
GO:0042981,0.00297,XM_034455776.1,117684293,NC_047568.1,6248102,6248104,regulation of apoptosis,death,P
GO:0042981,0.00297,XM_034477834.1,105339386,NC_047563.1,45331372,45331374,regulation of apoptosis,death,P
GO:0042981,0.00297,XM_034455780.1,117684293,NC_047568.1,6248102,6248104,regulation of apoptosis,death,P
GO:0042981,0.00297,XM_034455773.1,117684293,NC_047568.1,6248102,6248104,regulation of apoptosis,death,P
GO:0042981,0.00297,XM_034455777.1,117684293,NC_047568.1,6248102,6248104,regulation of apoptosis,death,P
GO:0042981,0.00297,XM_034477834.1,105339386,NC_047563.1,45331387,45331389,regulation of apoptosis,death,P
GO:0042981,0.00297,XM_034455783.1,117684293,NC_047568.1,6248102,6248104,regulation of apoptosis,death,P
GO:0042981,0.00297,XM_034455781.1,117684293,NC_047568.1,6248102,6248104,regulation of apoptosis,death,P
GO:0042981,0.00297,XM_034477834.1,105339386,NC_047563.1,45331398,45331400,regulation of apoptosis,death,P
GO:0042981,0.00297,XM_034455778.1,117684293,NC_047568.1,6248102,6248104,regulation of apoptosis,death,P
GO:0043523,0.00062,XM_011425896.3,105326056,NC_047566.1,3996134,3996136,regulation of neuron apoptosis,death,P
GO:0043523,0.00062,XM_011425892.3,105326056,NC_047566.1,3996134,3996136,regulation of neuron apoptosis,death,P
GO:0043523,0.00062,XM_034454439.1,105330472,NC_047567.1,4830649,4830651,regulation of neuron apoptosis,death,P
GO:0043523,0.00062,XM_034454443.1,105330472,NC_047567.1,4830649,4830651,regulation of neuron apoptosis,death,P
GO:0043523,0.00062,XM_011425897.3,105326056,NC_047566.1,3996134,3996136,regulation of neuron apoptosis,death,P
GO:0043523,0.00062,XM_011425895.3,105326056,NC_047566.1,3996134,3996136,regulation of neuron apoptosis,death,P
GO:0043523,0.00062,XM_034454442.1,105330472,NC_047567.1,4830649,4830651,regulation of neuron apoptosis,death,P
GO:0043523,0.00062,XM_034452312.1,105326056,NC_047566.1,3996134,3996136,regulation of neuron apoptosis,death,P
GO:0043523,0.00062,XM_011425890.3,105326056,NC_047566.1,3996134,3996136,regulation of neuron apoptosis,death,P
GO:0043523,0.00062,XM_034454441.1,105330472,NC_047567.1,4830649,4830651,regulation of neuron apoptosis,death,P
GO:0043523,0.00062,XM_034454440.1,105330472,NC_047567.1,4830649,4830651,regulation of neuron apoptosis,death,P
GO:0043523,0.00062,XM_034454438.1,105330472,NC_047567.1,4830649,4830651,regulation of neuron apoptosis,death,P
GO:0043523,0.00062,XM_020066246.2,105326056,NC_047566.1,3996134,3996136,regulation of neuron apoptosis,death,P
GO:0043523,0.00062,XM_034454444.1,105330472,NC_047567.1,4830649,4830651,regulation of neuron apoptosis,death,P
GO:0043523,0.00062,XM_034453551.1,117683735,NC_047567.1,4830649,4830651,regulation of neuron apoptosis,death,P
GO:0043523,0.00062,XM_011425894.3,105326056,NC_047566.1,3996134,3996136,regulation of neuron apoptosis,death,P
GO:0051402,0.00062,XM_011458389.3,105348828,NC_047565.1,37222360,37222362,neuron apoptosis,death,P
