GO.ID,Term,Annotated,Significant,Expected,classic
GO:0006470,protein dephosphorylation,10,2,0.03,0.0087
GO:0098609,cell-cell adhesion,11,2,0.03,0.0105
GO:0016311,dephosphorylation,13,2,0.04,0.0146
GO:0030334,regulation of cell migration,18,2,0.05,0.0274
GO:2000145,regulation of cell motility,18,2,0.05,0.0274
GO:0002685,regulation of leukocyte migration,2,1,0.01,0.0288
GO:0002687,positive regulation of leukocyte migrati...,2,1,0.01,0.0288
GO:0002691,regulation of cellular extravasation,2,1,0.01,0.0288
GO:0002693,positive regulation of cellular extravas...,2,1,0.01,0.0288
GO:0006816,calcium ion transport,2,1,0.01,0.0288
GO:0006939,smooth muscle contraction,2,1,0.01,0.0288
GO:0006940,regulation of smooth muscle contraction,2,1,0.01,0.0288
GO:0007159,leukocyte cell-cell adhesion,2,1,0.01,0.0288
GO:0007204,positive regulation of cytosolic calcium...,2,1,0.01,0.0288
GO:0007584,response to nutrient,2,1,0.01,0.0288
GO:0009581,detection of external stimulus,2,1,0.01,0.0288
GO:0009582,detection of abiotic stimulus,2,1,0.01,0.0288
GO:0009612,response to mechanical stimulus,2,1,0.01,0.0288
GO:0010038,response to metal ion,2,1,0.01,0.0288
GO:0010039,response to iron ion,2,1,0.01,0.0288
GO:0010040,response to iron(II) ion,2,1,0.01,0.0288
GO:0010959,regulation of metal ion transport,2,1,0.01,0.0288
GO:0016048,detection of temperature stimulus,2,1,0.01,0.0288
GO:0019226,transmission of nerve impulse,2,1,0.01,0.0288
GO:0019228,neuronal action potential,2,1,0.01,0.0288
GO:0019233,sensory perception of pain,2,1,0.01,0.0288
GO:0022409,positive regulation of cell-cell adhesio...,2,1,0.01,0.0288
GO:0030001,metal ion transport,2,1,0.01,0.0288
GO:0031638,zymogen activation,2,1,0.01,0.0288
GO:0031644,regulation of nervous system process,2,1,0.01,0.0288
GO:0031646,positive regulation of nervous system pr...,2,1,0.01,0.0288
GO:0031670,cellular response to nutrient,2,1,0.01,0.0288
GO:0032354,response to follicle-stimulating hormone,2,1,0.01,0.0288
GO:0032355,response to estradiol,2,1,0.01,0.0288
GO:0032516,positive regulation of phosphoprotein ph...,2,1,0.01,0.0288
GO:0033197,response to vitamin E,2,1,0.01,0.0288
GO:0033273,response to vitamin,2,1,0.01,0.0288
GO:0034698,response to gonadotropin,2,1,0.01,0.0288
GO:0043133,hindgut contraction,2,1,0.01,0.0288
GO:0043134,regulation of hindgut contraction,2,1,0.01,0.0288
GO:0043271,negative regulation of ion transport,2,1,0.01,0.0288
GO:0043525,positive regulation of neuron apoptotic ...,2,1,0.01,0.0288
GO:0043666,regulation of phosphoprotein phosphatase...,2,1,0.01,0.0288
GO:0044557,relaxation of smooth muscle,2,1,0.01,0.0288
GO:0045123,cellular extravasation,2,1,0.01,0.0288
GO:0045760,positive regulation of action potential,2,1,0.01,0.0288
GO:0045933,positive regulation of muscle contractio...,2,1,0.01,0.0288
GO:0045987,positive regulation of smooth muscle con...,2,1,0.01,0.0288
GO:0050900,leukocyte migration,2,1,0.01,0.0288
GO:0050901,leukocyte tethering or rolling,2,1,0.01,0.0288
GO:0050906,detection of stimulus involved in sensor...,2,1,0.01,0.0288
GO:0050951,sensory perception of temperature stimul...,2,1,0.01,0.0288
GO:0050961,detection of temperature stimulus involv...,2,1,0.01,0.0288
GO:0050965,detection of temperature stimulus involv...,2,1,0.01,0.0288
GO:0050966,detection of mechanical stimulus involve...,2,1,0.01,0.0288
GO:0050974,detection of mechanical stimulus involve...,2,1,0.01,0.0288
GO:0050982,detection of mechanical stimulus,2,1,0.01,0.0288
GO:0051051,negative regulation of transport,2,1,0.01,0.0288
GO:0051606,detection of stimulus,2,1,0.01,0.0288
GO:0051924,regulation of calcium ion transport,2,1,0.01,0.0288
GO:0051926,negative regulation of calcium ion trans...,2,1,0.01,0.0288
GO:0051969,regulation of transmission of nerve impu...,2,1,0.01,0.0288
GO:0051971,positive regulation of transmission of n...,2,1,0.01,0.0288
GO:0060401,cytosolic calcium ion transport,2,1,0.01,0.0288
GO:0060402,calcium ion transport into cytosol,2,1,0.01,0.0288
GO:0060450,positive regulation of hindgut contracti...,2,1,0.01,0.0288
GO:0060456,positive regulation of digestive system ...,2,1,0.01,0.0288
GO:0061756,leukocyte adhesion to vascular endotheli...,2,1,0.01,0.0288
GO:0062149,detection of stimulus involved in sensor...,2,1,0.01,0.0288
GO:0070509,calcium ion import,2,1,0.01,0.0288
GO:0070555,response to interleukin-1,2,1,0.01,0.0288
GO:0070588,calcium ion transmembrane transport,2,1,0.01,0.0288
GO:0071295,cellular response to vitamin,2,1,0.01,0.0288
GO:0071306,cellular response to vitamin E,2,1,0.01,0.0288
GO:0071347,cellular response to interleukin-1,2,1,0.01,0.0288
GO:0071371,cellular response to gonadotropin stimul...,2,1,0.01,0.0288
GO:0071372,cellular response to follicle-stimulatin...,2,1,0.01,0.0288
GO:0071392,cellular response to estradiol stimulus,2,1,0.01,0.0288
GO:0072672,neutrophil extravasation,2,1,0.01,0.0288
GO:0090075,relaxation of muscle,2,1,0.01,0.0288
GO:0090279,regulation of calcium ion import,2,1,0.01,0.0288
GO:0090281,negative regulation of calcium ion impor...,2,1,0.01,0.0288
GO:0097202,activation of cysteine-type endopeptidas...,2,1,0.01,0.0288
GO:0097529,myeloid leukocyte migration,2,1,0.01,0.0288
GO:0097530,granulocyte migration,2,1,0.01,0.0288
GO:0097553,calcium ion transmembrane import into cy...,2,1,0.01,0.0288
GO:0098657,import into cell,2,1,0.01,0.0288
GO:0098659,inorganic cation import across plasma me...,2,1,0.01,0.0288
GO:0098703,calcium ion import across plasma membran...,2,1,0.01,0.0288
GO:0098739,import across plasma membrane,2,1,0.01,0.0288
GO:0098908,regulation of neuronal action potential,2,1,0.01,0.0288
GO:0099587,inorganic ion import across plasma membr...,2,1,0.01,0.0288
GO:1901077,regulation of relaxation of muscle,2,1,0.01,0.0288
GO:1901079,positive regulation of relaxation of mus...,2,1,0.01,0.0288
GO:1901080,regulation of relaxation of smooth muscl...,2,1,0.01,0.0288
GO:1901082,positive regulation of relaxation of smo...,2,1,0.01,0.0288
GO:1901216,positive regulation of neuron death,2,1,0.01,0.0288
GO:1902622,regulation of neutrophil migration,2,1,0.01,0.0288
GO:1902624,positive regulation of neutrophil migrat...,2,1,0.01,0.0288
GO:1902656,calcium ion import into cytosol,2,1,0.01,0.0288
GO:1903037,regulation of leukocyte cell-cell adhesi...,2,1,0.01,0.0288
GO:1903039,positive regulation of leukocyte cell-ce...,2,1,0.01,0.0288
GO:1903236,regulation of leukocyte tethering or rol...,2,1,0.01,0.0288
GO:1903238,positive regulation of leukocyte tetheri...,2,1,0.01,0.0288
GO:1904457,positive regulation of neuronal action p...,2,1,0.01,0.0288
GO:1904994,regulation of leukocyte adhesion to vasc...,2,1,0.01,0.0288
GO:1904996,positive regulation of leukocyte adhesio...,2,1,0.01,0.0288
GO:1990266,neutrophil migration,2,1,0.01,0.0288
GO:2000389,regulation of neutrophil extravasation,2,1,0.01,0.0288
GO:2000391,positive regulation of neutrophil extrav...,2,1,0.01,0.0288
GO:0040012,regulation of locomotion,20,2,0.06,0.0333
GO:0007155,cell adhesion,22,2,0.06,0.0398
GO:0022610,biological adhesion,22,2,0.06,0.0398
GO:0001935,endothelial cell proliferation,3,1,0.01,0.0428
GO:0001936,regulation of endothelial cell prolifera...,3,1,0.01,0.0428
GO:0001937,negative regulation of endothelial cell ...,3,1,0.01,0.0428
GO:0003407,neural retina development,3,1,0.01,0.0428
GO:0007600,sensory perception,3,1,0.01,0.0428
GO:0010842,retina layer formation,3,1,0.01,0.0428
GO:0031290,retinal ganglion cell axon guidance,3,1,0.01,0.0428
GO:0048593,camera-type eye morphogenesis,3,1,0.01,0.0428
GO:0050680,negative regulation of epithelial cell p...,3,1,0.01,0.0428
GO:0050954,sensory perception of mechanical stimulu...,3,1,0.01,0.0428
GO:0060041,retina development in camera-type eye,3,1,0.01,0.0428
GO:0060042,retina morphogenesis in camera-type eye,3,1,0.01,0.0428
GO:0016477,cell migration,23,2,0.06,0.0432
GO:0048870,cell motility,23,2,0.06,0.0432
GO:0051674,localization of cell,23,2,0.06,0.0432
GO:0007156,homophilic cell adhesion via plasma memb...,4,1,0.01,0.0567
GO:0048592,eye morphogenesis,4,1,0.01,0.0567
GO:0090596,sensory organ morphogenesis,4,1,0.01,0.0567
GO:0098742,cell-cell adhesion via plasma-membrane a...,4,1,0.01,0.0567
GO:0002237,response to molecule of bacterial origin,5,1,0.01,0.0704
GO:0006874,cellular calcium ion homeostasis,5,1,0.01,0.0704
GO:0009266,response to temperature stimulus,5,1,0.01,0.0704
GO:0010921,regulation of phosphatase activity,5,1,0.01,0.0704
GO:0010922,positive regulation of phosphatase activ...,5,1,0.01,0.0704
GO:0030335,positive regulation of cell migration,5,1,0.01,0.0704
GO:0032496,response to lipopolysaccharide,5,1,0.01,0.0704
GO:0033993,response to lipid,5,1,0.01,0.0704
GO:0045785,positive regulation of cell adhesion,5,1,0.01,0.0704
GO:0051017,actin filament bundle assembly,5,1,0.01,0.0704
GO:0051272,positive regulation of cellular componen...,5,1,0.01,0.0704
GO:0051480,regulation of cytosolic calcium ion conc...,5,1,0.01,0.0704
GO:0071396,cellular response to lipid,5,1,0.01,0.0704
GO:0072503,cellular divalent inorganic cation homeo...,5,1,0.01,0.0704
GO:2000147,positive regulation of cell motility,5,1,0.01,0.0704
GO:0010950,positive regulation of endopeptidase act...,6,1,0.02,0.0839
GO:0010952,positive regulation of peptidase activit...,6,1,0.02,0.0839
GO:0016485,protein processing,6,1,0.02,0.0839
GO:0031668,cellular response to extracellular stimu...,6,1,0.02,0.0839
GO:0031669,cellular response to nutrient levels,6,1,0.02,0.0839
GO:0042493,response to drug,6,1,0.02,0.0839
GO:0043010,camera-type eye development,6,1,0.02,0.0839
GO:0050673,epithelial cell proliferation,6,1,0.02,0.0839
GO:0050678,regulation of epithelial cell proliferat...,6,1,0.02,0.0839
GO:0050877,nervous system process,6,1,0.02,0.0839
GO:0051604,protein maturation,6,1,0.02,0.0839
GO:0052547,regulation of peptidase activity,6,1,0.02,0.0839
GO:0052548,regulation of endopeptidase activity,6,1,0.02,0.0839
GO:0055074,calcium ion homeostasis,6,1,0.02,0.0839
GO:0061572,actin filament bundle organization,6,1,0.02,0.0839
GO:0071496,cellular response to external stimulus,6,1,0.02,0.0839
GO:0072507,divalent inorganic cation homeostasis,6,1,0.02,0.0839
GO:2000116,regulation of cysteine-type endopeptidas...,6,1,0.02,0.0839
