Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	Term	
GOTERM_BP_DIRECT	163	4.561992723	5.74E-24	"P32921, P84175, P29691, P62755, P12970, Q505J6, P62752, P39872, Q99MN1, P24049, P47911, Q6P8D1, Q7ZV82, P62264, Q1JPX3, Q9GNE2, Q8WRF3, P68101, Q6PFQ2, P49395, P70541, Q04637, O76756, Q7QJM5, Q7ZTZ2, Q90YU6, Q8BFR5, Q9N4I4, P48159, P50882, Q8BMB3, Q9VUJ0, P61255, P41126, P17078, O09167, P62864, Q2TBQ5, P20965, P23403, Q6GR16, Q90Z10, Q6DRC4, Q9VMY1, Q9VXX8, P87158, O61231, Q90YR8, Q90YP3, P41116, P41115, Q9ER72, P32429, P97521, P02434, Q7ZUB2, Q6QMZ4, Q8VEM8, Q6XIM8, P62909, P62243, Q9P720, Q80VC6, Q61035, A5PK63, Q9Y619, P05388, Q5XH95, B4PEU8, Q8CGC7, Q9UBX3, Q90YS3, Q8BGQ7, Q5TM62, P53013, Q9VTP4, Q7QEH1, P79781, Q90YQ6, P41105, Q6PBY1, P22292, Q2YGT9, Q9XSU7, Q5PQM9, P62845, P23381, P20280, P18101, Q9BMX5, Q9CQR2, Q56K03, Q9DB15, P62278, P02362, B5DGL6, Q15029, P61354, Q28346, O17445, O76190, P35979, Q99PL5, O70251, Q6TH15, P62890, Q8WTC1, P15880, Q02543, P68202, Q13310, P79110, P62282, P22451, O16797, O57592, Q3T0B7, P62914, Q3SZ90, Q92005, P36241, Q9VA73, P49180, O54873, Q9D0R2, Q90YV5, P27659, P18124, Q90YV7, P69091, Q6NZJ6, P46778, P27080, Q9DCH4, O42387, Q8R050, Q9BYD6, O55135, Q6QAP7, P62084, P47838, P12001, P46782, B3RPX6, Q8BGD9, P31674, Q9WVH0, Q80XI3, Q3SZQ6, Q9WUA2, P62083, Q6PCR7, P18445, Q28298, Q90705, Q3T0L7, Q642H9, Q9W6Y0, Q6TGS6, P29314, P46791, P60868, P41042"	3115	275	10371	1.973410769	3.08E-20	3.08E-20	1.10E-20	GO:0006412	translation
GOTERM_BP_DIRECT	89	2.490904002	4.61E-19	"P46940, Q5ZLT7, Q3UPF5, Q5ZIQ3, Q01082, Q9Y6E0, P37397, Q8WU90, P12970, Q00341, Q9Z1Z0, P55196, Q9Z1Z3, P42566, O13016, Q8BIK4, P15880, Q7Z2W4, Q9ERG0, P26039, Q99MZ8, Q04637, Q9H2G2, O00567, Q9UBC2, O75369, P39447, O60749, Q96JJ3, Q99K01, Q15149, Q80X90, Q96HC4, Q78PY7, A5D989, A6H7G2, Q5EGY4, Q9HAR2, Q8AXV0, Q2TBQ5, Q9CX00, Q3MHN0, Q8NC51, Q9UM54, Q91YR1, A7Z035, Q6NZJ6, Q6AXS5, P43487, Q8C8U0, P51610, Q13492, Q8K268, Q9QYL8, Q15056, Q8BVQ5, P70460, Q5I0D1, Q3TZZ7, Q9UHX1, O95817, Q08379, Q2TA49, Q6ZQ58, O95433, Q61191, Q9BZ29, Q9Z254, Q9CY58, Q5T6F2, Q9WVE8, P35613, Q3T0D0, P46060, Q8CI51, Q9NTK5, P35241, O77834, Q16658, Q2YGT9, Q5FWI3, P14618, Q9NQC3, Q16513, Q6KAR6, Q4FZY0, Q9JI92, Q06486, Q14247"	3115	130	10371	2.279340659	2.47E-15	1.24E-15	8.84E-16	GO:0098609	cell-cell adhesion
GOTERM_BP_DIRECT	98	2.742793171	6.60E-15	"Q5ZIQ3, O35737, Q28F51, Q08DZ2, Q16629, Q9DC48, Q96J01, Q8R3N6, Q9D287, Q9D0W5, Q8NDT2, O95905, Q8R003, Q5R723, Q9UKV3, O62703, Q7ZVR8, Q8R3G1, O08837, Q13148, O15116, Q9DCD2, Q5XJS5, Q99PV0, Q7SXM7, Q32P51, O95758, Q9CWK3, O35796, Q63413, Q8WN55, Q7ZVA6, Q6AYL5, Q7ZWA3, Q9BUQ8, Q18786, Q3TIX9, O43251, Q6P104, Q4TVV3, P38486, Q4R979, Q60HC3, Q8K2Z2, Q08170, Q61656, Q0VC92, Q02427, Q96A72, Q9JIX8, Q9R1C7, Q95KI0, Q9EPH8, P63018, Q6IRN2, Q15029, Q7TMK9, Q15428, A5D7H5, Q52KI8, Q24562, P29341, Q6DID3, Q922V4, Q5D018, O57683, P62313, Q5RC80, Q8VIJ6, Q96DI7, Q5NVM9, Q3T0B6, O43143, Q15393, Q91Y44, P62311, Q9JJW6, Q9H0Z9, Q9D554, O35900, Q923D5, Q9NYV4, Q8C7Q4, Q9HB90, Q9UHX1, Q3T022, Q9JKL7, Q8CH02, Q5SUF2, A2AIV2, Q9V535, Q3T0D0, Q5ZML3, O43172, Q8VE97, O01159, Q6PFR5, Q3KPW1"	3115	164	10371	1.989503974	3.51E-11	1.17E-11	1.26E-11	GO:0008380	RNA splicing
GOTERM_BP_DIRECT	76	2.127064092	2.70E-13	"P81623, O57476, P31689, P63018, Q90474, P15253, Q6EE31, Q3SZC1, Q9UHV9, Q3T0K2, Q5ZJK8, O77622, P25007, Q9H3N1, O14463, P24643, Q5T1M5, P04809, H2QII6, Q8JG64, P12613, Q9D0W5, Q922R8, Q2HJ94, Q5I0H9, Q5D016, Q99471, Q8IXY8, O60884, O94273, Q5R723, Q2T9X2, P14314, Q3ZCH0, Q4R6V2, Q66HD0, Q9NQP4, O97125, Q5RCG9, Q6TUG0, Q9UDY4, Q32PA9, Q5XHZ0, Q9CR16, P13667, Q9CXG3, O95757, O95817, P48605, Q27237, Q9JLA3, Q95M18, O75347, Q9W6X3, P30946, O43396, Q9BTW9, Q03958, Q5R941, Q3SZE9, Q5ZIN1, Q3SZE2, Q91W90, Q8BGQ7, Q5R440, Q11118, Q99615, Q14697, Q3T0L2, O57521, Q95108, Q921X9, O42123, P97576, O43447, Q80Y75"	3115	121	10371	2.091177056	1.45E-09	3.62E-10	5.18E-10	GO:0006457	protein folding
GOTERM_BP_DIRECT	113	3.162608452	4.97E-12	"Q6NWC6, Q5ZIQ3, O35737, Q8VEG6, Q90WU3, Q28F51, Q08DZ2, Q16629, O43390, Q9DC48, A2BHJ4, Q8R3N6, Q9D287, Q5ZIP4, Q9D0W5, Q8NDT2, O95905, Q8R003, Q5R723, Q9UKV3, O62703, O08837, Q7ZVR8, Q8R3G1, Q13148, O15116, Q15459, P20965, Q9DCD2, Q5XJS5, Q6GR16, Q99PV0, Q5BJQ6, Q7SXM7, Q32P51, O95758, Q9CWK3, O35796, Q8WN55, Q7ZVA6, Q6AYL5, Q7ZWA3, Q18786, Q3TIX9, O43251, Q6P104, Q4TVV3, P38486, Q8K2Z2, Q4R979, Q60HC3, Q08170, Q61656, Q0VC92, A6H619, Q96A72, Q9JIX8, Q9R1C7, Q95KI0, Q9EPH8, P63018, Q6IRN2, Q803E1, Q15029, Q7TMK9, Q15428, A5D7H5, Q52KI8, F1LQ48, Q5XI29, Q24562, Q76LC6, P29341, Q6DID3, Q922V4, Q5D018, O57683, P62313, Q5RC80, Q8VIJ6, Q0VFL3, Q5NVM9, Q3T0B6, O43143, Q15393, Q91Y44, P62311, Q9JJW6, Q9H0Z9, Q9D554, P14866, O35900, Q923D5, Q9NYV4, Q8C7Q4, Q8R081, Q7T3C6, Q9UHX1, Q3T022, Q9JKL7, Q8BGF7, Q2T9I5, Q6P0B1, Q8CH02, Q5SUF2, A2AIV2, Q9V535, Q3T0D0, Q5ZML3, Q8VE97, O01159, Q6PFR5, Q3KPW1"	3115	214	10371	1.758033933	2.67E-08	5.33E-09	9.53E-09	GO:0006397	mRNA processing
GOTERM_BP_DIRECT	40	1.119507417	2.63E-11	"Q5RKI1, P18124, Q7L2H7, B5FZ19, Q641X8, Q6NZJ6, Q767L0, P46778, Q6DRC4, Q9DCH4, Q5PPY6, C9WPN6, P23588, O43432, P61222, Q15056, O55135, Q6ZQ58, Q90511, Q9VXK6, Q6TH15, P46782, P15880, Q8BGD9, Q02543, P68101, Q6PFQ2, P05388, P70541, Q04637, Q5ZKC1, Q80XI3, P55884, Q5F428, Q6PCR7, Q9QZ81, Q8BMB3, P11940, Q64350, O60841"	3115	52	10371	2.561056921	1.41E-07	2.35E-08	5.04E-08	GO:0006413	translational initiation
GOTERM_BP_DIRECT	67	1.875174923	1.02E-10	"Q9R1C7, Q27268, Q7KNF2, O60306, Q9UUI3, Q15029, Q2PFW9, P17133, Q15428, Q52KI8, Q08E38, Q16629, Q66II8, O43390, O00148, Q9H307, Q9DC48, Q24562, Q00839, Q2HJ60, Q9BUJ2, Q9D287, A2VDN6, Q8SX83, Q3T147, Q5REG1, Q922V4, Q9VRV7, Q6P8E9, P24928, P62313, P11940, Q96DI7, Q2KIR1, O43143, Q12996, Q15393, Q7TP17, Q15459, P62311, Q9D554, P14866, G3V9R8, Q99PV0, O44437, O35900, Q7SXM7, P30876, P42285, Q5R7R9, A1A4K8, Q63413, Q9V535, O75643, Q27294, Q9BUQ8, Q5RBU8, O43172, Q9BZJ0, Q4TVV3, Q08170, O01159, Q6PFR5, Q14103, Q9VEX9, Q02427, O43447"	3115	111	10371	2.009622142	5.46E-07	7.80E-08	1.95E-07	GO:0000398	"mRNA splicing, via spliceosome"
GOTERM_BP_DIRECT	32	0.895605933	7.30E-10	"P18101, P18124, P19945, Q9PV90, Q58DT1, Q9VXX8, O61231, P87158, P23588, O17445, Q15056, P47911, Q6PBF0, Q8BGD9, P67985, P05388, P32100, Q9VTP4, Q9UKD2, O16797, P48159, P50882, P62919, Q3SYR7, Q6DER2, P41126, Q2YGT9, P61255, P36241, P41095, P49180, P41042"	3115	40	10371	2.663499197	3.92E-06	4.89E-07	1.40E-06	GO:0002181	cytoplasmic translation
GOTERM_BP_DIRECT	186	5.205709488	2.52E-08	"Q6GQN8, Q8R0F3, P17276, Q95KV7, Q99L04, P00367, Q8BGC4, P47791, P78417, P51538, Q7Z449, P07742, O43175, Q9N2W7, Q6NYL3, Q6PDY2, P30710, Q5BLE8, Q6NWZ9, O61199, Q08257, Q641Y2, P52503, Q1RLY6, O60218, P08228, A8E657, P18155, O46658, Q8K354, Q03049, Q3T094, Q8BSY0, Q8NHU2, Q71R50, A1L1V4, O09164, P15651, Q08DG6, Q5E936, F4JLS1, P47990, Q3ZBD3, Q2KIR8, P09917, Q5I598, Q5XI42, Q9CQX8, Q96NN9, Q08CS6, Q9N5Y2, P51650, Q9D051, P05370, P16152, P09623, P54001, P30044, Q4QQW3, Q8NBN7, Q8BYK4, P34275, E1C7T6, Q05A13, Q9CQF9, P32755, Q9JLJ2, O43396, Q9CQ62, Q921G7, Q8N3Y7, Q3T0Z7, P23378, Q17QH8, Q9LIG0, Q642M9, Q99MD6, P10632, P31228, P29147, Q9UDR5, P10575, Q92506, P50395, O77834, Q9D6R2, P56656, Q5U367, Q7ZUX6, O80434, O15460, P51174, Q3SZJ4, Q9H903, A6QR56, Q0MQD8, Q5U3U0, P56395, Q8NBX0, Q93099, P08503, Q64459, B0UXP9, P52899, P16435, O95831, Q9H3N1, Q9Z1P6, P56602, Q2KJC9, Q10576, Q08420, Q13423, Q6UW02, P09118, O00625, Q18359, Q17QJ7, P26150, Q497B8, O02373, Q9JHI5, P23913, A4QP81, Q9N2J2, Q53FA7, P42029, Q9CQZ5, Q66I21, P20000, P04179, Q6NT55, P52209, Q6ZNA5, Q8HXW0, P42026, Q8VCC1, Q8TC12, O46036, Q8BMF3, P08011, O89000, Q3ZBK2, Q8NCN5, A6QLU1, Q9EQ06, Q54XH6, Q56YT0, O08807, O54983, Q8BKE6, Q91XF0, O15439, Q6NV34, Q8HZK2, Q5BK63, Q5ZLR5, P90789, Q8IWF2, Q5E9W3, Q9Z0R9, Q8BJ64, Q9VWP4, Q61425, P00432, Q8K370, Q503L9, P46952, Q7SY23, P54886, O75342, D4A1J4, Q99L13, Q9Y2Q3, Q86WU2, Q6YV88, Q9P2T1, Q5VYX0, Q8CG09, Q91VD9, O95864, P27653, Q95108, Q96PH1, Q3ZBY7, Q5ZLS7"	3115	439	10371	1.410623151	1.35E-04	1.50E-05	4.83E-05	GO:0055114	oxidation-reduction process
GOTERM_BP_DIRECT	19	0.531766023	1.86E-07	"Q54NE6, Q19749, A9UMP7, Q9NFT7, Q3T0P6, P52899, P52034, Q589R5, P52792, P00548, P36871, O61199, Q8LQ68, Q60HE2, Q5R7H0, Q6P286, Q3ZBD7, A6NNW6, Q8VDL4"	3115	21	10371	3.012290759	9.99E-04	9.99E-05	3.57E-04	GO:0006096	glycolytic process
