												
Measurement count: 1   Filter: 540												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.876	0.896	0.790	0.647	0.627	0.631	0.519	0.519	0.504	0.382	0.375	0.374
B	0.261	0.235	0.233	0.149	0.145	0.157	0.081	0.083	0.081	0.071	0.071	0.071
C	0.214	0.212	0.202	0.221	0.227	0.222	0.455	0.440	0.435	0.208	0.206	0.207
D	0.588	0.582	0.555	0.379	0.373	0.360	0.408	0.403	0.405	0.146	0.146	0.145
E	0.559	0.552	0.542	0.091	0.089	0.088	0.372	0.364	0.035	0.249	0.248	0.241
F	0.244	0.252	0.242	0.176	0.174	0.171	0.212	0.215	0.218	0.635	0.697	0.666
G	0.212	0.207	0.201	0.413	0.367	0.367	0.484	0.465	0.468	0.622	0.596	0.613
H	0.107	0.112	0.108	0.084	0.088	0.089	0.030	0.031	0.030	0.030	0.030	0.030




Measurement count: 1   Filter: 540												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.876	0.888	0.792	0.647	0.627	0.631	0.518	0.518	0.503	0.380	0.373	0.373
B	0.260	0.232	0.234	0.149	0.146	0.158	0.082	0.083	0.082	0.071	0.072	0.072
C	0.209	0.208	0.204	0.223	0.228	0.224	0.457	0.442	0.436	0.208	0.206	0.208
D	0.590	0.569	0.559	0.381	0.375	0.362	0.411	0.405	0.407	0.147	0.147	0.146
E	0.555	0.542	0.547	0.091	0.089	0.089	0.374	0.366	0.034	0.250	0.249	0.241
F	0.241	0.249	0.245	0.178	0.175	0.172	0.215	0.217	0.220	0.637	0.699	0.669
G	0.208	0.203	0.204	0.416	0.371	0.370	0.488	0.469	0.473	0.627	0.602	0.620
H	0.107	0.112	0.109	0.085	0.088	0.089	0.031	0.031	0.031	0.031	0.031	0.031
