sampleID,treatment,sex,stage,extractionBatch,tissueMass,DNAConcentration,totalVolume,totalDNAEluted,volumeRemoved,revisedVolume,DNARemoved,revisedTotDNA,measuredVolume,concQubit1,concQubit2,revJulyTotDNA (used smallest concentration)
01-T3,Low,N/A,0,2,19.7,7.78,50,389,0,50,0,389,,,,
02-T1,Low,F,2,1,19.7,31.2,50,1560,0,50,0,1560,40,37,,1480
03-T1,Low,F,2,2,20.2,6.4,50,320,0,50,0,320,,,,0
04-T3,Low,N/A,0,1,19.8,14.4,50,720,0,50,0,720,40,20.8,,832
05-T3,Low,N/A,0,1,20,9.12,50,456,0,50,0,456,,,,0
06-T1,Low,F,1,1,20,17.9,50,895,0,50,0,895,40,47.2,44.6,1784
07-T2,Low,F,2,2,19.9,10.8,50,540,0,50,0,540,40,15.4,,616
08-T2,Low,F,1,2,19.8,19.3,50,965,0,50,0,965,40,22.2,,888
09-T2,Low,N/A,0,1,19.6,15.9,50,795,22.1,27.9,351.39,443.61,,,,0
10-T3,Low,N/A,0,2,19.7,18.3,50,915,19.2,30.8,351.36,563.64,20,23.2,,464
11-T4,Ambient,N/A,0,2,19.8,15.7,50,785,16,34,251.2,533.8,30,17.6,,528
12-T6,Ambient,M,4,1,20,5.64,50,282,0,50,0,282,,,,0
UK-01,Ambient,N/A,0,1,19.7,63,50,3150,4,46,252,2898,35,9.16,8.84,309.4
UK-02,Ambient,F,1,2,20.2,10.5,50,525,0,50,0,525,45,10.9,11.7,490.5
UK-03,Ambient,N/A,0,1,19.8,11.6,50,580,0,50,0,580,40,12.4,10.9,436
UK-04,Ambient,F,2,1,20,9.26,50,463,0,50,0,463,40,68.8,31.6,1264
UK-05,Ambient,M,4,2,19.7,9.26,50,463,0,50,0,463,,,,0
UK-06,Ambient,F,3,2,20,16,50,800,0,50,0,800,45,19.6,,882
UK-07,Ambient,F,3,1,19.9,6.4,50,320,0,50,0,320,40,,5.86,234.4
UK-08,Ambient,F,1,2,20,7.86,50,393,0,50,0,393,40,,8.92,314.4
,,,,,,,,,,,,,,,,
