,Sample,X,Round,Site.x,Habitat,Spp,Bag,Rep.x,PRVial,FinalHeight,TissueMass,shellThick,peakLoad,Strength,delC,C.perc,delN,N.perc,CN.ratio
1,A001,249,1,CI,E,P,1,1,O01,27.63,NA,0.8,87.159,0.10894875,-19.65,41.38,8.03,7.08,5.845
2,A004,252,1,CI,E,P,1,4,O04,30.76,NA,0.7,38.484,0.054977143,-21.47,36.7,9.13,8.91,4.118
3,A007,255,1,CI,E,P,4,2,O07,36.14,NA,0.8,45.259,0.05657375,-21.64,38.61,8.99,8.69,4.441
4,A015,233,1,CI,B,P,2,5,O15,33.74,NA,,,,-21.58,37.57,9.09,7.67,4.899
5,A016,234,1,CI,B,P,5,1,O16,32.79,NA,0.8,100.388,0.125485,-21.54,35.2,8.91,7.7,4.574
6,A021,239,1,CI,B,P,3,1,O21,38.47,NA,,,,-21.31,38.72,9.57,7.78,4.978
7,A026,276,1,FB,E,P,1,3,O47,37.64,0.2996,0.9,13.635,0.01515,-19.51,41.84,8.41,6.07,6.894
8,A029,279,1,FB,E,P,5,2,O64,39.18,0.1639,0.5,23.51,0.04702,-18.84,41.11,8.71,6.35,6.477
9,A033,259,1,FB,B,P,5,1,O70,31.79,0.1619,0.8,76.634,0.0957925,-21.46,37.05,9.18,8.07,4.59
10,A034,459,1,PG,E,P,2,1,O30,34.17,0.2297,,,,-18.93,41.63,8.05,6.46,6.443
11,A039,284,1,FB,E,P,3,1,O24,34.81,0.2086,0.6,13.815,0.023025,-18.68,37.46,8.49,6.06,6.177
12,A046,266,1,FB,B,P,6,3,O37,37.75,0.2565,,,,-19.48,38.68,7.98,5.75,6.729
13,A049,269,1,FB,B,P,4,1,O40,32.96,0.2936,1,65.972,0.065972,-19.47,38.64,8.03,6.42,6.015
14,A054,489,1,SK,E,P,2,1,O91,33.28,0.0745,0.5,29.83,0.05966,-21.51,39.36,8.8,9.08,4.336
15,A059,474,1,SK,B,P,3,1,O96,33.86,0.0649,,,,-22.02,39.21,9.29,9.77,4.015
16,A064,494,1,SK,E,P,4,1,O101,35.88,0.0979,1.2,104.156,0.086796667,-22.21,35.46,8.98,9.16,3.873
17,A071,500,1,SK,E,P,6,2,O107,30.34,0.0565,0.6,36.869,0.061448333,-22.12,40.08,8.89,9.48,4.229
18,A075,480,1,SK,B,P,1,1,O111,25.58,0.0653,,,,-22.78,38.67,9.13,9.42,4.108
19,A083,488,1,SK,B,P,5,4,O119,28.74,0.0492,,,,-22.58,39.93,8.99,10.05,3.974
20,A085,444,1,PG,B,P,4,1,O25,32.96,0.2593,,,,-21.61,43.29,8.52,7.33,5.905
21,A088,460,1,PG,E,P,5,1,O56,28.93,0.1197,0.6,33.649,0.056081667,-21.16,38.37,7.86,7.07,5.424
22,A097,467,1,PG,E,P,3,4,O77,34.52,0.2191,,,,-21.56,41.68,8.2,7.46,5.585
23,A099,448,1,PG,B,P,6,5,O51,31.71,0.1749,,,,-21.58,38.92,8.16,7.42,5.244
24,A104,453,1,PG,B,P,6,1,O55,35.95,0.2653,0.9,111.968,0.124408889,-21.73,42.95,8.69,6.79,6.322
25,A114,504,1,WB,B,P,4,1,O121,33.3,0.1511,0.8,85.047,0.10630875,-21.89,40.51,9.57,8.62,4.7
26,A120,510,1,WB,B,P,2,2,O127,29.2,0.0604,,,,-22.16,36.09,9.26,8.95,4.031
27,A124,519,1,WB,E,P,6,1,O131,35.29,0.0995,0.8,15.263,0.01907875,-21.04,37.28,9.39,9.25,4.032
28,A128,514,1,WB,B,P,3,1,O135,38.41,0.1705,1,70.894,0.070894,-22.11,38.64,9.69,8.8,4.392
29,A135,525,1,WB,E,P,5,3,O142,31.86,0.1397,0.6,57.014,0.095023333,-21.48,34.61,9.07,8.22,4.211
30,A138,528,1,WB,E,P,1,1,O145,33.33,0.1189,,,,-21.16,39.57,9.69,8.77,4.513
31,A143,654,2,WB,B,P,3,1,O151,31.7,0.0387,0.3,29.045,0.096816667,-20.76,33.56,9.3,8.72,3.851
32,A147,579,2,FB,E,P,1,1,O209,41.86,0.2903,,,,-18.84,39.54,8.13,6.17,6.405
33,A152,584,2,FB,E,P,3,1,O214,41.57,0.3228,,,,-19.73,41.82,8.44,6.76,6.185
34,A157,564,2,FB,B,P,1,1,O257,44.31,0.3133,,,,-19.68,42.24,8.48,6.18,6.84
35,A162,589,2,FB,E,P,2,1,O262,44.34,0.3288,0.5,19.133,0.038266,-19.49,43.16,8.62,6.94,6.221
36,A167,569,2,FB,B,P,3,1,O267,39.33,0.4132,,,,-19.49,41.86,8.18,6.64,6.303
37,A172,574,2,FB,B,P,2,1,O272,38.64,0.2435,0.6,33.894,0.05649,-20.09,43.56,8.61,6.75,6.45
38,A177,609,2,PG,E,P,3,5,O280,38.33,0.1551,,,,-20.68,42.15,8.14,8.37,5.037
39,A179,611,2,PG,E,P,1,1,O292,30.42,0.0624,0.8,15.293,0.01911625,-20.79,42.2,8.18,8.01,5.269
40,A181,594,2,PG,B,P,2,1,O297,28.12,0.1584,,,,-21.31,42.5,8.18,7.71,5.51
41,A191,599,2,PG,B,P,1,1,O281,35.02,0.1673,0.5,43.055,0.08611,-21.34,41.96,8.13,7.61,5.514
42,A197,604,2,PG,B,P,3,1,O288,37.3,0.2667,,,,-20.89,42.59,8.15,8.28,5.145
43,A202,619,2,PG,E,P,2,1,OG230,37.06,0.1624,0.5,29.89,0.05978,-20.74,41.76,8.05,8.04,5.193
