Round,Site,Spp,Patch,Exclosure,Rep,PRVial
1,CI,Cg,B,2,1,O11
1,CI,Cg,B,2,2,O12
1,CI,Cg,B,2,3,O13
1,CI,Cg,B,2,4,O14
1,CI,Cg,B,2,5,O15
1,CI,Cg,B,3,1,O21
1,CI,Cg,B,3,2,O22
1,CI,Cg,B,3,3,O23
1,CI,Cg,B,5,1,O16
1,CI,Cg,B,5,2,O17
1,CI,Cg,B,5,3,O18
1,CI,Cg,B,5,4,O19
1,CI,Cg,B,5,5,O20
1,CI,Cg,E,1,1,O01
1,CI,Cg,E,1,2,O02
1,CI,Cg,E,1,3,O03
1,CI,Cg,E,1,4,O04
1,CI,Cg,E,1,5,O05
1,CI,Cg,E,4,1,O06
1,CI,Cg,E,4,2,O07
1,CI,Cg,E,4,3,O08
1,CI,Cg,E,4,4,O09
1,CI,Cg,E,4,5,O10
1,FB,Cg,B,4,1,O40
1,FB,Cg,B,4,2,O41
1,FB,Cg,B,4,3,O42
1,FB,Cg,B,4,4,O43
1,FB,Cg,B,4,5,O44
1,FB,Cg,B,5,1,O70
1,FB,Cg,B,5,2,O69
1,FB,Cg,B,5,3,O68
1,FB,Cg,B,5,4,O67
1,FB,Cg,B,5,5,O66
1,FB,Cg,B,6,1,O35
1,FB,Cg,B,6,2,O36
1,FB,Cg,B,6,3,O37
1,FB,Cg,B,6,4,O38
1,FB,Cg,B,6,5,O39
1,FB,Cg,E,1,1,O45
1,FB,Cg,E,1,2,O46
1,FB,Cg,E,1,3,O47
1,FB,Cg,E,1,4,O48
1,FB,Cg,E,1,5,O49
1,FB,Cg,E,3,1,O24
1,FB,Cg,E,3,2,O84
1,FB,Cg,E,3,3,O32
1,FB,Cg,E,3,4,O33
1,FB,Cg,E,3,5,O34
1,FB,Cg,E,5,1,O65
1,FB,Cg,E,5,2,O64
1,FB,Cg,E,5,3,O63
1,FB,Cg,E,5,4,O62
1,FB,Cg,E,5,5,O61
1,PG,Cg,B,1,1,O53
1,PG,Cg,B,1,2,O52
1,PG,Cg,B,1,3,O26
1,PG,Cg,B,1,4,O88
1,PG,Cg,B,1,5,O54
1,PG,Cg,B,4,1,O25
1,PG,Cg,B,4,2,O90
1,PG,Cg,B,4,3,O89
1,PG,Cg,B,4,4,O85
1,PG,Cg,B,4,5,O83
1,PG,Cg,B,6,1,O55
1,PG,Cg,B,6,2,O60
1,PG,Cg,B,6,3,O87
1,PG,Cg,B,6,4,O86
1,PG,Cg,B,6,5,O51
1,PG,Cg,E,2,1,O30
1,PG,Cg,E,2,2,O29
1,PG,Cg,E,2,3,O31
1,PG,Cg,E,2,4,O28
1,PG,Cg,E,2,5,O27
1,PG,Cg,E,3,1,O71
1,PG,Cg,E,3,2,O79
1,PG,Cg,E,3,3,O59
1,PG,Cg,E,3,4,O77
1,PG,Cg,E,3,5,O76
1,PG,Cg,E,5,1,O56
1,PG,Cg,E,5,2,O82
1,PG,Cg,E,5,3,O81
1,PG,Cg,E,5,4,O80
1,PG,Cg,E,5,5,O78
1,SK,Cg,B,1,1,O111
1,SK,Cg,B,1,2,O112
1,SK,Cg,B,1,3,O113
1,SK,Cg,B,1,4,O114
1,SK,Cg,B,1,5,O115
1,SK,Cg,B,3,1,O96
1,SK,Cg,B,3,2,O97
1,SK,Cg,B,3,3,O98
1,SK,Cg,B,3,4,O99
1,SK,Cg,B,3,5,O100
1,SK,Cg,B,5,1,O116
1,SK,Cg,B,5,2,O117
1,SK,Cg,B,5,3,O118
1,SK,Cg,B,5,4,O119
1,SK,Cg,B,5,5,O120
1,SK,Cg,E,2,1,O91
1,SK,Cg,E,2,2,O92
1,SK,Cg,E,2,3,O93
1,SK,Cg,E,2,4,O94
1,SK,Cg,E,2,5,O95
1,SK,Cg,E,4,1,O101
1,SK,Cg,E,4,2,O102
1,SK,Cg,E,4,3,O103
1,SK,Cg,E,4,4,O104
1,SK,Cg,E,4,5,O105
1,SK,Cg,E,6,1,O106
1,SK,Cg,E,6,2,O017
1,SK,Cg,E,6,3,O108
1,SK,Cg,E,6,4,O109
1,SK,Cg,E,6,5,O110
1,WB,Cg,B,2,1,O126
1,WB,Cg,B,2,2,O127
1,WB,Cg,B,2,3,O128
1,WB,Cg,B,2,4,O129
1,WB,Cg,B,2,5,O130
1,WB,Cg,B,3,1,O135
1,WB,Cg,B,3,2,O136
1,WB,Cg,B,3,3,O137
1,WB,Cg,B,3,4,O138
1,WB,Cg,B,3,5,O139
1,WB,Cg,B,4,1,O121
1,WB,Cg,B,4,2,O122
1,WB,Cg,B,4,3,O123
1,WB,Cg,B,4,4,O124
1,WB,Cg,B,4,5,O125
1,WB,Cg,E,1,1,O145
1,WB,Cg,E,1,2,O146
1,WB,Cg,E,1,3,O147
1,WB,Cg,E,1,4,O148
1,WB,Cg,E,1,5,O149
1,WB,Cg,E,5,1,O140
1,WB,Cg,E,5,2,O141
1,WB,Cg,E,5,3,O142
1,WB,Cg,E,5,4,O143
1,WB,Cg,E,5,5,O144
1,WB,Cg,E,6,1,O131
1,WB,Cg,E,6,2,O132
1,WB,Cg,E,6,3,O133
1,WB,Cg,E,6,4,O134
2,CI,Cg,B,1,1,O217
2,CI,Cg,B,1,2,O218
2,CI,Cg,B,1,3,O219
2,CI,Cg,B,1,4,O220
2,CI,Cg,B,1,5,O221
2,CI,Cg,E,1,1,O222
2,FB,Cg,B,1,1,O257
2,FB,Cg,B,1,2,O258
2,FB,Cg,B,1,3,O259
2,FB,Cg,B,1,4,O260
2,FB,Cg,B,1,5,O261
2,FB,Cg,B,2,1,O272
2,FB,Cg,B,2,2,O273
2,FB,Cg,B,2,3,O274
2,FB,Cg,B,2,4,O275
2,FB,Cg,B,2,5,O276
2,FB,Cg,B,3,1,O267
2,FB,Cg,B,3,2,O268
2,FB,Cg,B,3,3,O269
2,FB,Cg,B,3,4,O270
2,FB,Cg,B,3,5,O271
2,FB,Cg,E,1,1,O209
2,FB,Cg,E,1,2,O210
2,FB,Cg,E,1,3,O211
2,FB,Cg,E,1,4,O212
2,FB,Cg,E,1,5,O213
2,FB,Cg,E,2,1,O262
2,FB,Cg,E,2,2,O263
2,FB,Cg,E,2,3,O264
2,FB,Cg,E,2,4,O265
2,FB,Cg,E,2,5,O266
2,FB,Cg,E,3,1,O214
2,FB,Cg,E,3,2,O215
2,FB,Cg,E,3,3,O216
2,FB,Cg,E,3,4,O223
2,FB,Cg,E,3,5,O256
2,PG,Cg,B,1,1,O281
2,PG,Cg,B,1,2,O282
2,PG,Cg,B,1,3,O285
2,PG,Cg,B,1,4,O286
2,PG,Cg,B,1,5,O287
2,PG,Cg,B,2,1,O297
2,PG,Cg,B,2,2,O298
2,PG,Cg,B,2,3,O299
2,PG,Cg,B,2,4,O300
2,PG,Cg,B,2,5,O283
2,PG,Cg,B,3,1,O288
2,PG,Cg,B,3,2,O289
2,PG,Cg,B,3,3,O290
2,PG,Cg,B,3,4,O291
2,PG,Cg,B,3,5,OG231
2,PG,Cg,E,1,1,O292
2,PG,Cg,E,1,2,O293
2,PG,Cg,E,1,3,O294
2,PG,Cg,E,1,4,O295
2,PG,Cg,E,1,5,O296
2,PG,Cg,E,2,1,OG230
2,PG,Cg,E,2,2,OG228
2,PG,Cg,E,2,3,OG229
2,PG,Cg,E,2,4,OG227
2,PG,Cg,E,2,5,OG226
2,PG,Cg,E,3,1,O284
2,PG,Cg,E,3,2,O277
2,PG,Cg,E,3,3,O278
2,PG,Cg,E,3,4,O279
2,PG,Cg,E,3,5,O280
2,SK,Cg,B,1,1,O187
2,SK,Cg,B,1,2,O188
2,SK,Cg,B,1,3,O189
2,SK,Cg,B,1,4,O190
2,SK,Cg,B,1,5,O191
2,SK,Cg,B,2,1,O197
2,SK,Cg,B,2,2,O198
2,SK,Cg,B,2,3,O199
2,SK,Cg,B,2,4,O200
2,SK,Cg,B,2,5,O201
2,SK,Cg,B,3,1,O179
2,SK,Cg,B,3,2,O180
2,SK,Cg,B,3,3,O181
2,SK,Cg,B,3,4,O182
2,SK,Cg,B,3,5,O183
2,SK,Cg,E,1,1,O192
2,SK,Cg,E,1,2,O193
2,SK,Cg,E,1,3,O194
2,SK,Cg,E,1,4,O195
2,SK,Cg,E,1,5,O196
2,SK,Cg,E,2,1,O202
2,SK,Cg,E,2,2,O203
2,SK,Cg,E,2,3,O204
2,SK,Cg,E,2,4,O205
2,SK,Cg,E,2,5,O208
2,SK,Cg,E,3,1,O184
2,SK,Cg,E,3,2,O185
2,SK,Cg,E,3,3,O186
2,WB,Cg,B,1,1,O161
2,WB,Cg,B,1,2,O162
2,WB,Cg,B,1,3,O163
2,WB,Cg,B,1,4,O164
2,WB,Cg,B,2,1,O156
2,WB,Cg,B,2,2,O157
2,WB,Cg,B,2,3,O158
2,WB,Cg,B,2,4,O159
2,WB,Cg,B,2,5,O160
2,WB,Cg,B,3,1,O151
2,WB,Cg,B,3,2,O152
2,WB,Cg,B,3,3,O153
2,WB,Cg,B,3,4,O154
2,WB,Cg,B,3,5,O155
2,WB,Cg,E,1,1,O165
2,WB,Cg,E,1,2,O166
2,WB,Cg,E,1,3,O167
2,WB,Cg,E,1,4,O168
2,WB,Cg,E,2,1,O174
2,WB,Cg,E,2,2,O175
2,WB,Cg,E,2,3,O176
2,WB,Cg,E,2,4,O177
2,WB,Cg,E,2,5,O178
2,WB,Cg,E,3,1,O169
2,WB,Cg,E,3,2,O170
2,WB,Cg,E,3,3,O171
2,WB,Cg,E,3,4,O172
2,WB,Cg,E,3,5,O173
