protein	bareCaseInlet	bareFidalgoBay	bareWillapaBay	bareSkokomishRiver	barePortGamble	eelgrassCaseInlet	eelgrassFidalgoBay	eelgrassWillapaBay	eelgrassSkokomishRiver	eelgrassPortGamble
CHOYP_ABCA1.2.3	135848.2857	5214020.5	320156	1375048.889	232384.7143	267251.5556	520005.75	1782210.364	1596007.75	748949.4167
CHOYP_AIFM1.1.1	973976.6	84310	1359083.667	479589.75	315224.8	3251126.5	300368	479530.6	1802073.6	1379353.222
CHOYP_BRAFLDRAFT_119799.1.1	23982944.17	13890076.81	4635772	2601289.75	17147594.83	1161584.636	5768779.182	967580.7	5408679.8	31874359.25
CHOYP_BRAFLDRAFT_90929.1.1	93479	30483	43294	74151	132143	217504	35097	1817412.333	20942003.5	1019406.5
CHOYP_CATA.1.3	217389.2857	189117.2222	414395.2	616062.8462	733193.4286	391679.2727	255387.3	239523.8333	424081.4	375916.75
CHOYP_CRYAB.2.5	483273.625	372271.3333	7342004.5	286184.5	542089.5	246745.6667	4659260.889	1075265.714	1637214.4	3352081.083
CHOYP_DNJC3.1.1	680976.5	340475.7143	285811.25	195196.1111	87705.2	422222.4286	100637.6	1724223.714	462403.7143	208907.375
CHOYP_DPER_GL22446.1.1	636340	340809.8333	7943169.909	362777.6667	568209	237382.25	5959749.143	1408708.4	1734680.25	4352681.556
CHOYP_DPER_GL22446.1.1-2	150372	1061472	56760	1460974	15160	131588.5	1822599	21110	39365	431946
CHOYP_G6PD.1.2	1144157	3013439.8	549546.5385	607411.3077	1562046.636	428645.9091	6152029.4	527677.4545	567266.2857	1130303.455
CHOYP_GSK3B.1.1	1432424.833	243861	732079	327384.2	105283.3333	515224	2014174	669985	1655806.667	180484
CHOYP_HMCN1.44.44	550553.4	25633	NA	616589.5	41867	860098	102608	122130.5	322093	1078181.333
CHOYP_HS74L.1.1	2872580.188	112740.7857	4411670.667	1201676.667	1124563.429	1094158.353	3284951.133	2351002.5	872038.6667	267942.5882
CHOYP_HS90A.1.3	7325354.96	10949054.77	9864588.92	5515392.909	5017594.406	7180385.591	13770965.14	6327870.893	59548259.7	3882865.063
CHOYP_HS90A.3.3	6336167.448	9992789.118	8415240.6	5084407.194	4785630.914	5979604.593	12388561.62	5766617.969	53132814.89	3463185.139
CHOYP_HYOU1.3.3	349834.6667	186919	5250015.75	857059	43037	349373.6667	765713.5	458386	121379.3333	39706.5
CHOYP_ISCW_ISCW008219.1.2	3670563.4	468776.25	492295.75	89802.83333	365171.2222	320819.5	281210	369576.8571	1610264.2	335148
CHOYP_ISCW_ISCW010532.2.4	512133.2857	399627.7778	254216.5714	592246.3333	459379.875	69883.16667	284040.1429	196095.6	1176951.833	368687
CHOYP_ISCW_ISCW012366.1.1	5954836.833	449406	266357.1667	375873	197061.8334	206763.75	2988434.8	1828123.5	183205.75	485289.75
CHOYP_ISCW_ISCW014481.1.1	1761534	1532941	3260356.75	682510	30869	NA	20216773.75	903436	3183750	95814
CHOYP_LOC100114171.1.1	365245.2	211759.5455	573434.7059	582694.7857	1516110.75	917042.8333	1333250.333	482998.8462	1581996.059	366701.4286
CHOYP_LOC100174996.1.1	15768	10356709	51504	92034	2104413.667	45672	14985274	31533	57969	138696
CHOYP_LOC100177679.1.1	16813	149382	482708	31923	80985	808288	16392	2398202	1484143	203691
CHOYP_LOC100180023.4.7	NA	68444	120155	211663	63945	3433784.5	22435	99430	13806	863883
CHOYP_LOC100180023.5.7	20097	103615	324919	NA	27665	NA	12744413	23790	20127.5	24708
CHOYP_LOC100180023.6.7	126517.5	1692581	562901.6667	444647.3333	27671.66667	19255766.75	118501.3333	1829603.333	367406	24992483.78
CHOYP_LOC100180855.1.4	NA	68444	120155	211663	63945	3433784.5	22435	99430	13806	863883
CHOYP_LOC100180855.2.4	993920	202067.5	146146.5	298265	1299322.5	83000	1563098.333	370494	50451	321543
CHOYP_LOC100181607.2.2	494980	31084	64158.5	223025.3333	128777	205825.5	269893	22560	621286	133610.6667
CHOYP_LOC100211409.1.1	651414.5556	337618.1	6317623.786	378199.4438	467184	338760.75	3826765.727	2681237.5	1244984.25	2706129.875
CHOYP_LOC100371043.4.5	186407	54401	1397167	260581.6667	22764.5	44155.5	298899.5	131393	65384.5	302437
CHOYP_LOC100374573.1.1	309802.2	353796.6667	79159	386589.25	1288476.2	1920633.333	342487	276688	117232	4563791.667
CHOYP_LOC100377173.1.2	2755969.8	72264.1	698586.8667	685428.0769	198614.6667	379931.6667	524564.4615	294265.0833	1047699.833	1460404.467
CHOYP_LOC589012.1.1	59396	278817.25	441964.5	100422.4	75555	87041.5	1927668	49157	98312.25	69018.25
CHOYP_MRP1.10.10	70780.33333	34651.66667	293493.5	50868.66667	44886.33333	142494	333917.6667	33090	172906.5	57362.4
CHOYP_RNP1B.1.1	1996542	25739	171339.5	665833.5	17751	388418.5	80537.5	6428505	591267.3333	768276.25
CHOYP_SC31A.1.2	9164404.2	1361520.667	116619.3333	185248.3333	1829547	9327987.6	1016510.25	4068249	527168.6667	15804239.17
