Bucket Number,Female Pool, Sample Egg Density 1, Sample Egg Density 2, Sample Egg Density 3,Sample Egg Count 1,Sample Egg Count 2,Sample Egg Count 3,Female Egg Count (eggs),Container Volume (mL),Stocking Density (eggs/mL),Amount Female Added (mL),Ambient Male ID,Amount Male Added (mL),Fertilization?,"Location (1 = Outside, 0 = Inside)",Notes
1,Low,204,326,256,20400000,32600000,25600000,26200000,15000,7,10.01908397,9-Jan,200 µL,Yes,1,"First count done with 50 µL, rest with 25 µL. Only confirmed fertilization with this sample."
2,Low,,,,,,,26200000,15000,7,10.01908397,10-Jan,200 µL,Yes,1,
4,Low,,,,,,,26200000,15000,7,10.01908397,5-Feb,200 µL,Yes,1,
5,Low,,,,,,,26200000,15000,7,10.01908397,6-Feb,200 µL,Yes,1,
6,Low,,,,,,,26200000,15000,7,10.01908397,7-Feb,200 µL,Yes,1,
7,Low,,,,,,,26200000,15000,7,10.01908397,12-Feb,200 µL,Yes,1,
9,Low,,,,,,,26200000,15000,7,10.01908397,4-Apr,200 µL,Yes,1,
10,Low,,,,,,,26200000,15000,7,10.01908397,2-May,200 µL,Yes,1,
11,Low,,,,,,,26200000,15000,7,10.01908397,11-May,200 µL,Yes,1,
12,Low,,,,,,,26200000,15000,7,10.01908397,5-Jun,200 µL,Yes,1,
13,Low,,,,,,,26200000,15000,7,10.01908397,8-Jun,200 µL,Yes,1,
14,Low,,,,,,,26200000,15000,7,10.01908397,11-Jun,200 µL,Yes,1,
15,Low,,,,,,,26200000,15000,7,10.01908397,9-Jan,200 µL,Yes,1,
16,Low,,,,,,,26200000,15000,7,10.01908397,10-Jan,200 µL,Yes,0,
18,Low,,,,,,,26200000,15000,7,10.01908397,5-Feb,200 µL,Yes,1,
19,Low,,,,,,,26200000,15000,7,10.01908397,6-Feb,200 µL,Yes,0,
20,Low,,,,,,,26200000,15000,7,10.01908397,7-Feb,200 µL,Yes,1,
21,Low,,,,,,,26200000,15000,7,10.01908397,12-Feb,200 µL,Yes,1,
23,Low,,,,,,,26200000,15000,7,10.01908397,4-Apr,200 µL,Yes,1,
24,Low,,,,,,,26200000,15000,7,10.01908397,2-May,200 µL,Yes,1,
25,Low,,,,,,,26200000,15000,7,10.01908397,11-May,200 µL,Yes,1,
26,Low,,,,,,,26200000,15000,7,10.01908397,5-Jun,200 µL,Yes,1,
27,Low,,,,,,,26200000,15000,7,10.01908397,8-Jun,200 µL,Yes,1,
28,Low,,,,,,,26200000,15000,7,10.01908397,11-Jun,200 µL,Yes,1,
29,Ambient,234,277,273,29250000,34625000,34125000,32666666.67,15000,7,8.035714286,9-Jan,200 µL,Yes,1,20 µL sample volume
30,Ambient,,,,,,,32666666.67,15000,7,8.035714286,10-Jan,200 µL,Yes,1,
32,Ambient,,,,,,,32666666.67,15000,7,8.035714286,5-Feb,200 µL,Yes,1,
33,Ambient,,,,,,,32666666.67,15000,7,8.035714286,6-Feb,200 µL,Yes,1,
34,Ambient,,,,,,,32666666.67,15000,7,8.035714286,7-Feb,200 µL,Yes,0,
35,Ambient,,,,,,,32666666.67,15000,7,8.035714286,12-Feb,200 µL,Yes,1,
37,Ambient,,,,,,,32666666.67,15000,7,8.035714286,4-Apr,200 µL,Yes,1,
38,Ambient,,,,,,,32666666.67,15000,7,8.035714286,2-May,200 µL,Yes,1,
39,Ambient,,,,,,,32666666.67,15000,7,8.035714286,11-May,200 µL,Yes,1,
40,Ambient,,,,,,,32666666.67,15000,7,8.035714286,5-Jun,200 µL,Yes,0,
41,Ambient,,,,,,,32666666.67,15000,7,8.035714286,8-Jun,200 µL,Yes,1,
42,Ambient,,,,,,,32666666.67,15000,7,8.035714286,11-Jun,200 µL,Yes,1,
43,Ambient,,,,,,,32666666.67,15000,7,8.035714286,9-Jan,200 µL,Yes,0,
44,Ambient,,,,,,,32666666.67,15000,7,8.035714286,10-Jan,200 µL,Yes,1,
46,Ambient,,,,,,,32666666.67,15000,7,8.035714286,5-Feb,200 µL,Yes,1,
47,Ambient,,,,,,,32666666.67,15000,7,8.035714286,6-Feb,200 µL,Yes,0,
48,Ambient,,,,,,,32666666.67,15000,7,8.035714286,7-Feb,200 µL,Yes,1,
49,Ambient,,,,,,,32666666.67,15000,7,8.035714286,12-Feb,200 µL,Yes,0,
51,Ambient,,,,,,,32666666.67,15000,7,8.035714286,4-Apr,200 µL,Yes,0,
52,Ambient,,,,,,,32666666.67,15000,7,8.035714286,2-May,200 µL,Yes,1,
53,Ambient,,,,,,,32666666.67,15000,7,8.035714286,11-May,200 µL,Yes,1,
54,Ambient,,,,,,,32666666.67,15000,7,8.035714286,5-Jun,200 µL,Yes,1,
55,Ambient,,,,,,,32666666.67,15000,7,8.035714286,8-Jun,200 µL,Yes,1,
56,Ambient,,,,,,,32666666.67,15000,7,8.035714286,11-Jun,200 µL,Yes,1,
57,Heat Shock,247,288,293,12350000,14400000,14650000,13800000,15000,7,19.02173913,HS-7,600 µL,Yes,0,"10 µL sample volume, added waaaaaay too many eggs! Needed 7.6 ml only."
58,Heat Shock,,,,,,,13800000,15000,7,19.02173913,HS-8,600 µL,Yes,0,
59,Heat Shock,,,,,,,13800000,15000,7,19.02173913,HS-7,600 µL,Yes,0,
60,Heat Shock,,,,,,,13800000,15000,7,19.02173913,HS-8,600 µL,Yes,0,
