Bucket,7/30/17,8/1/17,8/3/17,8/5/17,8/7/17,8/9/17,8/11/17,8/13/17,8/15/17,8/17/17
1,60000,55555.55556,58500,41600,34666.66667,23306.66667,8533.333333,9600,7286.666667,1760
2,60000,36111.11111,74666.66667,34666.66667,26400,24000,10733.33333,5200,3666.666667,1106.666667
3,60000,57777.77778,42200,46400,36400,23586.66667,13933.33333,11666.66667,5300,2133.333333
4,60000,44444.44444,39600,36000,36266.66667,32653.33333,12800,8666.666667,4333.333333,1866.666667
5,60000,53333.33333,44733.33333,43680,33600,25400,20160,18000,5133.333333,2666.666667
6,60000,52777.77778,32733.33333,35520,24800,8533.333333,10080,8100,3466.666667,1333.333333
7,60000,42222.22222,35360,30766.66667,27200,25326.66667,22200,6000,4866.666667,1333.333333
8,60000,61333.33333,37333.33333,32000,36833.33333,38500,14400,10633.33333,5600,2000
9,60000,75000,44333.33333,48000,29000,32186.66667,16791.66667,9600,6626.666667,2840
10,60000,53333.33333,39200,66750,42133.33333,24026.66667,13500,12133.33333,8600,2520
11,60000,27777.77778,44586.66667,46200,32200,22400,15533.33333,2333.333333,1466.666667,1440
12,60000,47777.77778,39900,41066.66667,23200,18973.33333,15200,2666.666667,1600,813.3333333
13,60000,35555.55556,32866.66667,40533.33333,26133.33333,20706.66667,13720,12266.66667,6333.333333,1033.333333
14,60000,51666.66667,38266.66667,39100,40600,25066.66667,16000,15066.66667,9766.666667,2520
15,60000,31111.11111,70640,26666.66667,40346.66667,29233.33333,13866.66667,11200,11920,3200
16,60000,42222.22222,32000,26666.66667,21000,25500,12133.33333,8066.666667,1900,833.3333333
17,60000,51666.66667,37200,37440,29500,9300,2666.666667,1400,1466.666667,1333.333333
18,60000,50555.55556,29066.66667,27733.33333,27733.33333,16033.33333,16133.33333,5000,4966.666667,533.3333333
19,60000,49444.44444,35960,36666.66667,38566.66667,20000,11200,10800,6233.333333,266.6666667
20,60000,44444.44444,35333.33333,31800,28000,23900,8600,7466.666667,5733.333333,560
21,60000,57222.22222,23600,25226.66667,31666.66667,17680,10666.66667,8800,4700,1600
22,60000,40000,35733.33333,36000,27653.33333,20066.66667,8500,8000,4906.666667,1093.333333
23,60000,33333.33333,18200,33000,19200,20800,10640,5600,5666.666667,533.3333333
24,60000,48333.33333,44933.33333,36266.66667,24000,20466.66667,17600,7000,2333.333333,1333.333333
