Sample_Name,Species,Ploidy,Size_Classification,Tissue,Sample_Date,Experimental_Treatment,Treatment_Time(weeks),pH
01_Mantle,C.gigas,3N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
01_Gills,C.gigas,3N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
01_Gonad,C.gigas,3N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
02_Mantle,C.gigas,3N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
02_Gills,C.gigas,3N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
02_Gonad,C.gigas,3N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
03_Mantle,C.gigas,3N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
03_Gills,C.gigas,3N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
03_Gonad,C.gigas,3N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
04_Mantle,C.gigas,3N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
04_Gills,C.gigas,3N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
04_Gonad,C.gigas,3N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
05_Mantle,C.gigas,3N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
05_Gills,C.gigas,3N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
05_Gonad,C.gigas,3N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
06_Mantle,C.gigas,3N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
06_Gills,C.gigas,3N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
06_Gonad,C.gigas,3N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
07_Mantle,C.gigas,3N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
07_Gills,C.gigas,3N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
07_Gonad,C.gigas,3N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
08_Mantle,C.gigas,3N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
08_Gills,C.gigas,3N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
08_Gonad,C.gigas,3N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
09_Mantle,C.gigas,3N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
09_Gills,C.gigas,3N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
09_Gonad,C.gigas,3N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
10_Mantle,C.gigas,3N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
10_Gills,C.gigas,3N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
10_Gonad,C.gigas,3N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
11_Mantle,C.gigas,3N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
11_Gills,C.gigas,3N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
11_Gonad,C.gigas,3N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
12_Mantle,C.gigas,3N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
