Category	Term		Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006950	response to stress	10	31.25	1.41E-16	"Q2FXL6, Q90474, P42297, A0QZA1, P31948, O57521, Q5XHZ0, O07552, P04809, Q8LGG8"	32	32	10371	101.2792969	5.45E-14	5.45E-14	1.55E-13
GOTERM_BP_DIRECT	GO:0006979	response to oxidative stress	7	21.875	2.55E-07	"P53563, A4IGL7, P30044, Q8CG09, P08228, Q08420, P05370"	32	92	10371	24.65930707	1.25E-04	6.25E-05	3.66E-04
GOTERM_BP_DIRECT	GO:0043066	negative regulation of apoptotic process	9	28.125	3.42E-07	"P53563, Q27968, Q9WV60, P31689, P42930, P30044, P04179, P08228, P04792"	32	238	10371	12.25564601	1.68E-04	5.60E-05	4.91E-04
GOTERM_BP_DIRECT	GO:0042493	response to drug	7	21.875	6.33E-06	"P53563, Q8CG09, P04179, P56524, P08228, P41233, P00184"	32	159	10371	14.2682783	0.003105648	7.77E-04	0.009098937
GOTERM_BP_DIRECT	GO:0002931	response to ischemia	4	12.5	1.32E-05	"P53563, O95831, P42930, Q9Y4L1"	32	16	10371	81.0234375	0.006456072	0.001294562	0.018945924
GOTERM_BP_DIRECT	GO:0006457	protein folding	6	18.75	2.65E-05	"P31689, O95757, Q90474, O57521, Q5XHZ0, P04809"	32	121	10371	16.07076446	0.012937272	0.002167928	0.038086177
GOTERM_BP_DIRECT	GO:0006986	response to unfolded protein	4	12.5	1.24E-04	"Q27968, P31689, O95757, P04792"	32	33	10371	39.28409091	0.059150886	0.008672532	0.178208977
GOTERM_BP_DIRECT	GO:0000303	response to superoxide	3	9.375	1.29E-04	"P04179, P08228, Q08420"	32	6	10371	162.046875	0.061261502	0.00787115	0.184766967
GOTERM_BP_DIRECT	GO:0050665	hydrogen peroxide biosynthetic process	3	9.375	1.80E-04	"P04179, P08228, P00184"	32	7	10371	138.8973214	0.084553179	0.009767871	0.258103532
GOTERM_BP_DIRECT	GO:2001028	positive regulation of endothelial cell chemotaxis	3	9.375	1.80E-04	"P16056, P42930, P04792"	32	7	10371	138.8973214	0.084553179	0.009767871	0.258103532
GOTERM_BP_DIRECT	GO:0019430	removal of superoxide radicals	3	9.375	1.80E-04	"P04179, P08228, Q08420"	32	7	10371	138.8973214	0.084553179	0.009767871	0.258103532
GOTERM_BP_DIRECT	GO:0055114	oxidation-reduction process	8	25	2.52E-04	"O95831, P30044, Q8CG09, P04179, P08228, Q08420, P00184, P05370"	32	439	10371	5.906036446	0.11645134	0.012304563	0.361533474
GOTERM_BP_DIRECT	GO:1902176	negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	3	9.375	3.07E-04	"P42930, P04179, P04792"	32	9	10371	108.03125	0.140058607	0.013623713	0.4404414
GOTERM_BP_DIRECT	GO:0001895	retina homeostasis	3	9.375	3.83E-04	"P42930, P08228, P04792"	32	10	10371	97.228125	0.171608729	0.015566707	0.549247181
GOTERM_BP_DIRECT	GO:0009615	response to virus	4	12.5	6.34E-04	"P53563, P42930, P00184, P04792"	32	57	10371	22.74342105	0.267708452	0.023682489	0.907339607
GOTERM_BP_DIRECT	GO:0000302	response to reactive oxygen species	3	9.375	7.69E-04	"P30044, P04179, P08228"	32	14	10371	69.44866071	0.314748214	0.026636599	1.099613761
GOTERM_BP_DIRECT	GO:0051881	regulation of mitochondrial membrane potential	3	9.375	0.001588796	"P53563, P04179, P08228"	32	20	10371	48.6140625	0.541923494	0.050716641	2.258019267
GOTERM_BP_DIRECT	GO:0007568	aging	4	12.5	0.001825512	"P53563, P42930, P08228, P00184"	32	82	10371	15.80945122	0.592268227	0.054528571	2.590355048
GOTERM_BP_DIRECT	GO:0042542	response to hydrogen peroxide	3	9.375	0.002103832	"P53563, P04179, P08228"	32	23	10371	42.27309783	0.644442905	0.059014561	2.979753233
GOTERM_BP_DIRECT	GO:0001666	response to hypoxia	4	12.5	0.002459156	"P53563, P04179, Q08420, P00184"	32	91	10371	14.24587912	0.701484276	0.064957154	3.474785385
GOTERM_BP_DIRECT	GO:0043525	positive regulation of neuron apoptotic process	3	9.375	0.003570494	"O95831, Q9WV60, P56524"	32	30	10371	32.409375	0.827308741	0.088290806	5.007956465
GOTERM_BP_DIRECT	GO:0006749	glutathione metabolic process	3	9.375	0.005113766	"P04179, P08228, P05370"	32	36	10371	27.0078125	0.919322941	0.118266172	7.099458943
GOTERM_BP_DIRECT	GO:0010041	response to iron(III) ion	2	6.25	0.008941395	"P00184, P05370"	32	3	10371	216.0625	0.987844457	0.189414596	12.10335476
GOTERM_BP_DIRECT	GO:0038033	positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway	2	6.25	0.008941395	"P42930, P04792"	32	3	10371	216.0625	0.987844457	0.189414596	12.10335476
GOTERM_BP_DIRECT	GO:0006469	negative regulation of protein kinase activity	3	9.375	0.009688685	"Q27968, P42930, P04792"	32	50	10371	19.445625	0.99160685	0.195301941	13.05055027
GOTERM_BP_DIRECT	GO:0007517	muscle organ development	3	9.375	0.009688685	"P16056, Q90474, O57521"	32	50	10371	19.445625	0.99160685	0.195301941	13.05055027
GOTERM_BP_DIRECT	GO:0043065	positive regulation of apoptotic process	4	12.5	0.011215141	"P53563, O95831, Q9WV60, P31689"	32	157	10371	8.257165605	0.996064612	0.213978829	14.95590633
GOTERM_BP_DIRECT	GO:0042554	superoxide anion generation	2	6.25	0.011904629	"P04179, P08228"	32	4	10371	162.046875	0.997205897	0.217303419	15.80374173
GOTERM_BP_DIRECT	GO:0043524	negative regulation of neuron apoptotic process	3	9.375	0.012460512	"P53563, P04179, P08228"	32	57	10371	17.05756579	0.997880443	0.218282557	16.48155369
GOTERM_BP_DIRECT	GO:0010976	positive regulation of neuron projection development	3	9.375	0.013309045	"O42254, P16056, P42930"	32	59	10371	16.47934322	0.998610229	0.22355052	17.50642475
GOTERM_BP_DIRECT	GO:0033700	phospholipid efflux	2	6.25	0.014859289	"Q8CG09, P41233"	32	5	10371	129.6375	0.999357832	0.23833364	19.34868013
