Oyster Number,Adductor Tissue Tube ID,Ctenidia (Gill Tissue) Tube ID,Mantle Tissue Tube ID,Ethanol Tube ID,Gonad Histology Cassette ID,Location in Cassette,Length (cm),Shell and animal weight (g),Empty shell weight (g),Calculated animal weight (g),Additional Notes
1,A-01,C-01,M-01,E-01,3 notches,bottom-left,180.0,360.2,239.5,120.7,Switched labels on tubes 1 and 9
2,A-02,C-02,M-02,E-02,3 notches,bottom-right,145.5,417.1,296.7,120.4,
3,A-03,C-03,M-03,E-03,2 notches,top-right,122.4,222.9,149.9,73.0,Switched labels on tubes 4 and 6
4,A-04,C-04,M-04,E-04,2 notches,bottom-right,119.9,239.9,167.3,72.6,"Two attched oysters weighed. Larger oyster was used for tissue extraction, with the empty shell and filled shell of second oyster used to calculate animal weight"
5,A-05,C-05,M-05,E-05,2 notches,bottom-left,114.9,197.4,133.9,63.5,Switched labels on tubes 4 and 6
6,A-06,C-06,M-06,E-06,2 notches,top-left,100.2,267.4,202.0,65.4,Extra shell attached to shell of oyster used for tissue extraction
7,A-07,C-07,M-07,E-07,1 notch,bottom-right,131.2,278.4,210.8,67.6,Extra shell attached to shell of oyster used for tissue extraction
8,A-08,C-08,M-08,E-08,1 notch,bottom-left,127.9,235.6,153.4,82.2,Switched labels on tubes 8 and 10
9,A-09,C-09,M-09,E-09,1 notch,top-left,121.9,235.4,172.9,62.5,Switched labels on tubes 1 and 9
10,A-10,C-10,M-10,E-10,1 notch,top-right,113.0,289.0,188.3,100.7,Switched labels on tubes 8 and 10
11,A-11,C-11,M-11,E-11,4 notches,top-left,112.1,334.2,249.1,85.1,
12,A-12,C-12,M-12,E-12,4 notches,top-right,98.0,262.7,192.9,69.8,
13,A-13,C-13,M-13,E-13,5 notches,top-left,106.7,133.3,83.8,49.5,
14,A-14,C-14,M-14,E-14,5 notches,top-right,110.1,196.8,115.5,81.3,
15,A-15,C-15,M-15,E-15,5 notches,bottom-right,112.9,189.6,129.9,59.7,
16,A-16,C-16,M-16,E-16,5 notches,bottom-left,109.3,142.0,92.4,49.6,
17,A-17,C-17,M-17,E-17,4 notches,bottom-left,118.9,233.1,164.6,68.5,
18,A-18,C-18,M-18,E-18,4 notches,bottom-right,93.5,231.2,167.5,63.7,
19,A-19,C-19,M-19,E-19,3 notches,top-right,99.5,175.5,112.4,63.1,
20,A-20,C-20,M-20,E-20,3 notches,top-left,111.2,265.0,170.4,94.6,For all oysters: gill tissue was used for tubes with ethanol. Orange part of adductor muscle and crossection of mantle tissue used.
