,chr,pos,stat,pvals,fdrs
66812,NC_047559.1,3159595,5.68712662008608,1.29194667344656e-08,0.00181944582178876
66813,NC_047559.1,3159620,6.27032830210816,3.60287640787079e-10,0.000122371093181698
454774,NC_047559.1,22732543,5.3964909806613,6.79568262127204e-08,0.00540196035767749
607741,NC_047559.1,30739063,-5.30177836367191,1.14680017988295e-07,0.00776512315081829
873952,NC_047559.1,43886947,5.30129574685718,1.14983643444169e-07,0.00776512315081829
880189,NC_047559.1,44191406,6.96286981293035,3.3340990890502e-12,2.56682130977417e-06
892702,NC_047559.1,44850822,5.30794988656896,1.10865111260837e-07,0.00766631779664632
915591,NC_047559.1,45984057,5.44229757859569,5.25977135238933e-08,0.0044992641294489
952005,NC_047559.1,47884062,-6.00960254754094,1.85978696458053e-09,0.000447435413287821
968135,NC_047559.1,48771720,-5.41926729643014,5.98437877049644e-08,0.00497178873165324
993302,NC_047559.1,50090321,-5.88132698496859,4.06990231330244e-09,0.000777750759225346
1069077,NC_047559.1,53771128,-5.26905688854577,1.37126465565062e-07,0.00904881326161914
1072685,NC_047559.1,53948058,5.72879890704225,1.0114420723982e-08,0.00155735687254181
1122769,NC_047560.1,599422,-5.35222433838371,8.68795940588498e-08,0.00640938881787035
1122770,NC_047560.1,599436,-5.35222433838371,8.68795940588485e-08,0.00640938881787035
1122771,NC_047560.1,599438,-5.35222433838371,8.68795940588485e-08,0.00640938881787035
1203361,NC_047560.1,4561068,5.55954406008406,2.70480309985786e-08,0.0028625987131691
1203362,NC_047560.1,4561151,5.38143285549062,7.38952667303841e-08,0.00571026049965513
1203364,NC_047560.1,4561238,5.77323411149993,7.77642763514825e-09,0.00128289315310115
1203368,NC_047560.1,4561429,5.63509462694697,1.74962239264942e-08,0.00217254995957832
1203369,NC_047560.1,4561492,7.01362208764646,2.32226136560947e-12,2.06289031594591e-06
1474693,NC_047560.1,17549972,5.66164704306151,1.49926956273707e-08,0.00198508507812865
1523320,NC_047560.1,19948171,-6.53558886927061,6.3359745811793e-11,2.92672427641462e-05
1796808,NC_047560.1,33240715,5.45050791654088,5.02261668382469e-08,0.00432846219681529
1943030,NC_047560.1,40407111,-6.34416850192927,2.23629958615061e-10,7.82572235810588e-05
2085151,NC_047560.1,47359738,-5.25680854329869,1.46576766142327e-07,0.00956313445317818
2258695,NC_047560.1,55678417,5.45756020357984,4.82721503768879e-08,0.00422309748677855
2354110,NC_047560.1,60343497,-6.44360380811459,1.16669404947188e-10,4.74187337995114e-05
2523343,NC_047560.1,68536351,6.80070704744242,1.04106930860772e-11,6.01115657089114e-06
2631868,NC_047561.1,676193,5.85506363928534,4.76827393429006e-09,0.000874035435380331
2672588,NC_047561.1,2478679,5.79377438642148,6.88218984334557e-09,0.00115182353978432
2727788,NC_047561.1,5134010,7.10349584972707,1.21640002971514e-12,1.40470398483517e-06
2727790,NC_047561.1,5134188,5.64745514374423,1.62840304406427e-08,0.00207842036366551
2830716,NC_047561.1,10264269,5.70013821872318,1.19710327399505e-08,0.00172802501044195
2857936,NC_047561.1,11880473,-6.0412721503408,1.52903818647296e-09,0.000383856494044169
2887839,NC_047561.1,13511702,5.3015103001462,1.14848567065051e-07,0.00776512315081829
3098166,NC_047561.1,24786569,-5.56358647617605,2.64285801833636e-08,0.0028625987131691
